FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4
27.55874445,31.38280868,0,0,-31.64843867,57.83643257,-2.749190197,1.090711141,-88.8258076,31.23084035,0,0,-138.246616,0,0,-42.24919235
-8.868412694,-23.30622383,0,0,152.2419436,23.97367423,37.35160416,1.086556979,-56.04361254,66.95940395,0,0,-45.34531917,0,0,-3.914398113
11.54904374,2.422152365,0,0,57.75578175,-13.80651602,-7.342321978,1.082391337,187.2589903,-8.696711626,0,0,193.8834662,0,0,160.2458897
13.48980626,10.71087461,0,0,25.34988147,71.23797229,20.49444863,1.078214364,-241.2485202,67.74124065,0,0,-328.1329271,0,0,-149.0691488
-10.50963832,-28.22101255,0,0,168.8925246,-38.84041183,28.53517548,1.074026208,183.9778718,17.22652444,0,0,219.0048828,0,0,159.1875425
24.10545029,23.06288651,0,0,-27.98795559,38.24188567,-12.87203908,1.069827017,-73.19354619,13.86800674,0,0,-152.1780979,0,0,-31.37702833
-16.74951804,-37.5895786,0,0,193.3903027,48.02927368,49.00402693,1.065616941,-227.3207833,98.59683358,0,0,-255.8113034,0,0,-131.1769601
-17.19946721,-28.31572097,0,0,135.7180633,14.46830202,19.24309148,1.061396126,-77.01884633,51.63631037,0,0,-89.95994428,0,0,-31.62315805
4.537318667,10.11698134,0,0,-14.3047344,103.5017343,8.627694153,1.057164722,-455.8783528,87.97870354,0,0,-583.1647588,0,0,-306.4762407
-9.042029247,-27.21901085,0,0,181.5651521,-13.67238778,21.94728521,1.052922874,89.40473244,41.51884613,0,0,123.9258008,0,0,88.35075972
27.20860278,26.20678536,0,0,-4.528675066,-4.042186648,-29.52093496,1.048670731,156.0594755,-7.818242917,0,0,146.6461703,0,0,122.2096036
3.096410521,-0.202672694,0,0,10.50937171,54.63521744,0.868208363,1.044408438,-218.118507,51.66185469,0,0,-290.9890908,0,0,-134.259124
-21.20593239,-38.62623782,0,0,147.2379986,-28.83514261,2.570651169,1.040136143,148.6320252,-2.74720491,0,0,174.0302444,0,0,137.1869536
16.03230411,12.10591376,0,0,-8.532906318,25.03573531,-22.4342726,1.035853991,33.56138093,-8.832149587,0,0,-18.66323168,0,0,41.7910443
6.714040112,-8.308109521,0,0,84.18508282,39.21690462,19.00322681,1.031562129,-123.7385556,52.91556547,0,0,-180.1587654,0,0,-70.45561519
26.43827682,10.5221175,0,0,103.1647055,-17.60427745,-7.473088707,1.027260702,193.9244478,14.05498178,0,0,198.1207199,0,0,144.3534629
37.39413787,32.69747709,0,0,-29.99497358,44.02721242,-18.84933933,1.022949854,-83.4948709,44.28429566,0,0,-157.202522,0,0,-62.89091312
-15.97421629,-33.89504023,0,0,128.1105618,-15.31026733,13.09944757,1.018629732,11.32710527,41.25613537,0,0,10.75868258,0,0,17.29015245
-1.31554582,-5.750646242,0,0,44.00750949,-27.79027667,-30.54202356,1.014300479,172.2430272,-33.02174461,0,0,159.0936566,0,0,122.2385081
-4.527703095,-7.430950677,0,0,43.79585664,45.9806792,-3.350107157,1.00996224,-171.3954111,28.5870941,0,0,-246.7610948,0,0,-123.2301355
-1.665441162,-19.69235677,0,0,139.750039,-20.69840091,-3.131061301,1.005615159,181.3829257,2.931041792,0,0,211.920556,0,0,134.224485
28.51351945,29.86947545,0,0,-51.07788688,57.63269843,-34.69466433,1.001259379,-52.64905297,14.30201796,0,0,-116.625766,0,0,-35.61666929
-12.31068107,-20.73281302,0,0,106.1247393,42.49258837,8.894376765,0.996895044,-67.91443407,58.37944165,0,0,-79.56798706,0,0,-23.08265723
4.169672529,-3.086521802,0,0,41.56479666,-7.412638202,-31.84879745,0.992522296,196.0553149,-12.26618449,0,0,203.1126766,0,0,165.8694257
-3.828982148,-8.304359394,0,0,13.09486826,56.06080045,-9.882095245,0.988141278,-204.5317212,42.66493354,0,0,-290.8259552,0,0,-126.5298184
-2.499934926,-22.90507344,0,0,150.3657305,-31.7810179,-4.385229286,0.983752132,180.1827571,15.10806242,0,0,207.1452725,0,0,145.2575965
35.21099744,34.96213564,0,0,-60.29994796,28.58018364,-41.99685304,0.979355001,-38.15233443,21.14578336,0,0,-100.8178819,0,0,-26.40916946
-14.59222056,-22.62288037,0,0,109.7448987,20.33909433,18.53005296,0.974950026,-89.08704663,61.25223599,0,0,-97.83055235,0,0,-46.23300697
24.2503268,17.4661763,0,0,47.9588532,-13.54566889,-14.53406688,0.970537347,219.4829251,-20.24467788,0,0,243.2534222,0,0,178.3521936
26.30290776,18.36646335,0,0,-9.984122991,62.55046419,9.167832086,0.966117106,-219.7840742,57.66567419,0,0,-286.7701709,0,0,-141.6258447
-4.368732014,-30.60381524,0,0,159.9442917,-39.78231062,23.82416892,0.961689444,178.339457,23.2961789,0,0,229.2308078,0,0,146.6902691
40.64946107,38.03772467,0,0,-46.77690534,25.28535198,-26.01085478,0.957254501,-1.915524875,7.296678941,0,0,-56.2684629,0,0,12.49218533
-2.876658435,-16.72691746,0,0,111.4098994,18.05350604,25.37796755,0.952812415,-81.47926711,65.8056554,0,0,-94.46341326,0,0,-35.06495619
15.41821268,2.915244759,0,0,56.75668848,-29.34072537,-13.86915391,0.948363328,239.6586221,-27.92012772,0,0,256.3874353,0,0,187.7398839
17.41712396,10.44997409,0,0,-14.26138824,63.86729628,-1.849021501,0.943907378,-208.248714,33.65236033,0,0,-292.1031656,0,0,-137.2853496
-14.85902525,-38.97282941,0,0,152.8513398,-31.91749932,16.03538224,0.939444703,166.0982572,9.383426681,0,0,209.2640383,0,0,137.3894314
24.36972036,23.21512141,0,0,-52.18423953,22.99791233,-26.77275651,0.934975442,-12.77904536,-16.20792221,0,0,-68.86127774,0,0,3.998058851
-12.00325042,-27.56030893,0,0,106.2745234,23.18704761,26.97545437,0.930499734,-100.0661286,41.53819908,0,0,-115.5461279,0,0,-43.30687936
15.97418681,0.168057629,0,0,45.63376511,-20.10489529,-11.99267786,0.926017715,233.2760099,-29.08994335,0,0,258.679245,0,0,196.5362944
24.43063709,19.2849494,0,0,-31.93364387,65.61121534,4.58718026,0.921529523,-220.0686282,37.35431615,0,0,-300.1816421,0,0,-134.6770677
-4.991007537,-29.70030177,0,0,157.1511124,-25.99010244,35.95616936,0.917035296,157.2641804,13.3367851,0,0,200.1204633,0,0,139.2561854
36.89925943,29.190056,0,0,-42.22427288,28.009808,-7.328692365,0.912535168,1.239706851,-3.642691923,0,0,-54.22336159,0,0,24.87249832
7.260776739,-11.3391223,0,0,111.5216684,12.03035193,35.31328545,0.908029278,-95.10151177,55.47557598,0,0,-118.674552,0,0,-37.08153764
37.09380376,21.45254359,0,0,57.48768531,-20.6974914,-1.435940536,0.90351776,246.6729368,-8.029517796,0,0,271.0986067,0,0,196.3891707
34.42780795,30.60048172,0,0,-21.58739161,81.54166714,14.61843794,0.899000749,-204.3591867,60.9097301,0,0,-281.2891858,0,0,-123.4161754
-7.575267249,-29.47235295,0,0,173.5049214,-29.50074426,33.68211598,0.894478382,173.2144933,31.66987742,0,0,215.2147023,0,0,161.317367
30.86891635,29.92483074,0,0,-42.51181144,24.95861423,-15.50962467,0.889950792,16.97222499,12.25657074,0,0,-36.02639731,0,0,37.43279332
-16.92094808,-27.10773746,0,0,100.5084773,24.8629769,34.60140492,0.885418114,-108.889122,60.9414572,0,0,-129.0928836,0,0,-45.44474201
-4.219540746,-16.47129303,0,0,68.92564046,-32.99467418,-1.977249039,0.880880481,252.2362702,-22.55922819,0,0,277.0212869,0,0,209.6079512
18.62286742,18.89699799,0,0,-26.10060687,63.16262659,4.604873116,0.876338028,-198.961504,49.78308429,0,0,-284.1743448,0,0,-118.8863339
3.150847794,-15.19725344,0,0,147.0169731,-23.57332298,26.73782846,0.871790887,154.1562446,38.87362338,0,0,196.5407594,0,0,137.367646
42.7686638,38.69376776,0,0,-69.38939079,34.65183843,-15.38492248,0.86723919,10.81221235,11.73210453,0,0,-28.10018892,0,0,23.39586079
-6.920704363,-19.34122441,0,0,82.31881752,28.15170125,41.6700966,0.862683071,-122.8199371,57.27119374,0,0,-128.8861392,0,0,-59.01246301
9.218403923,0.834401504,0,0,65.86987394,-40.30283867,7.277186383,0.858122661,259.0563467,-26.91999012,0,0,305.0519663,0,0,217.191351
35.57978469,38.21204096,0,0,-40.56484875,61.08758234,9.303430023,0.853558092,-191.244377,36.81046542,0,0,-258.5803377,0,0,-110.5612029
-1.885181648,-17.6297846,0,0,150.8313177,-31.38869391,40.45844855,0.848989495,151.0535733,25.93112246,0,0,201.9456348,0,0,137.8014188
33.07486539,38.83092855,0,0,-47.7363611,4.57582659,-5.052987164,0.844417,41.78835256,-3.414811706,0,0,-3.677462365,0,0,53.95976116
24.22163764,15.35431794,0,0,55.06089983,39.88236676,30.45800283,0.839840737,-118.5906464,67.66750298,0,0,-142.9493946,0,0,-54.68987075
26.01779926,11.32247194,0,0,22.98961915,-0.644515115,1.048197419,0.835260838,238.0574403,6.834804322,0,0,287.6960837,0,0,196.8995587
4.445408737,2.987272866,0,0,-55.44483991,64.31617648,14.56537236,0.830677431,-206.4752137,40.40607805,0,0,-261.5440153,0,0,-109.7825077
-16.09850638,-36.31908797,0,0,138.0573104,-23.86582233,33.1694432,0.826090645,133.8426177,14.45104958,0,0,193.634712,0,0,149.433793
28.07583892,26.38418027,0,0,-59.56423452,11.27992748,-18.62245707,0.821500608,26.8996626,-10.15159399,0,0,2.784112898,0,0,69.9607874
-4.323483855,-16.82582482,0,0,82.31962234,-1.905620175,26.5105028,0.816907451,-135.5389275,37.29171268,0,0,-140.169366,0,0,-28.42483835
24.56049398,13.22603819,0,0,62.71751235,-32.58298271,-12.31219655,0.812311299,250.2803836,-23.24952272,0,0,306.6929499,0,0,246.3923789
28.38367049,32.5862415,0,0,-47.25716645,63.83635048,-12.32397046,0.807712281,-203.2732742,43.1026324,0,0,-258.9065669,0,0,-71.98990911
-11.35809238,-32.53264243,0,0,152.4464035,-48.55792459,15.81688168,0.803110523,118.2137263,19.83286014,0,0,180.8173946,0,0,173.4508353
30.31036519,25.68551323,0,0,-49.4404007,-0.721460552,-28.18281506,0.798506153,25.09579593,-6.436344965,0,0,2.725743188,0,0,96.2364988
-0.176435156,-8.315631475,0,0,69.42284688,23.51363093,24.99616086,0.793899295,-160.4603588,55.74767954,0,0,-168.7649439,0,0,-22.72457966
24.50624073,15.01931558,0,0,53.42188016,-20.17712206,0.243689589,0.789290078,236.3590132,-18.56520116,0,0,296.6580608,0,0,263.4188517
28.46040918,29.70645321,0,0,-60.96871596,80.72962581,13.68922293,0.784678624,-213.1990344,41.19670678,0,0,-265.2433964,0,0,-56.41022106
-25.31869258,-42.23045789,0,0,150.1615693,-15.06508019,50.61035543,0.78006506,101.0061163,15.94172767,0,0,163.2662491,0,0,180.9563969
3.645301016,6.105900017,0,0,-43.9575409,18.18032972,-8.612947737,0.77544951,34.49150346,-35.27312078,0,0,10.64190249,0,0,127.5379885
-29.56245763,-38.5695185,0,0,64.91128451,21.21689841,19.84888991,0.770832097,-168.4527504,24.42119225,0,0,-188.3385933,0,0,-2.150619277
-9.523049073,-22.15199584,0,0,62.11175911,-47.91922868,-13.0026107,0.766212947,232.1514415,-51.26156374,0,0,279.2240518,0,0,281.3782836
-0.432070214,2.821425646,0,0,-48.81358651,48.29846565,0.82349175,0.761592181,-209.8604117,6.644753701,0,0,-277.3720598,0,0,-40.51518122
-24.60545219,-42.57274764,0,0,151.4387414,-35.9309437,31.35660812,0.756969922,95.42513674,7.041846506,0,0,141.9484742,0,0,185.2865263
39.50852731,38.98520565,0,0,-64.70464153,14.31096782,-27.53296468,0.752346294,31.36413813,-8.214534375,0,0,7.031782311,0,0,119.607179
-8.20517563,-11.50130167,0,0,34.43079638,77.78463211,42.49793162,0.747721417,-436.6740395,108.292036,0,0,-484.928078,0,0,-212.290915
-22.64416066,-39.81900965,0,0,137.5301553,-24.55752531,31.6493749,0.743095414,99.13741841,10.4862801,0,0,167.6571941,0,0,175.2141548
39.01571691,32.57447829,0,0,-44.75776478,25.49375221,-20.65480108,0.738468405,100.2569824,-17.37626867,0,0,100.1281753,0,0,162.8812262
23.92384387,7.995755672,0,0,33.00502591,48.68477113,25.35281837,0.733840511,-126.3446794,68.19388704,0,0,-127.3001906,0,0,10.12727265
12.21126098,-4.310190759,0,0,43.82580508,0.28930156,16.87283809,0.729211852,34.02224914,25.21585083,0,0,68.43608851,0,0,141.5312529
22.41466812,13.56177073,0,0,-5.563278387,16.86379079,-0.239884703,0.724582547,75.36573874,2.892051403,0,0,107.1725974,0,0,173.3479498
18.56383491,13.96301953,0,0,-11.69894592,65.86770095,26.02494472,0.719952717,-126.0635291,53.34461337,0,0,-121.6232849,0,0,27.596297
-3.152393066,-12.84774796,0,0,54.88199054,-3.428212604,29.9250726,0.715322479,70.12410199,25.24504969,0,0,122.1890563,0,0,170.2523331
7.70206738,1.078230835,0,0,-25.36241123,3.191357588,1.892885746,0.710691953,-0.826306599,3.89849018,0,0,1.924571944,0,0,113.1442737
-13.12165346,-26.86385282,0,0,41.78758241,5.472659277,22.40238053,0.706061256,-122.9789575,27.1061858,0,0,-128.955924,0,0,29.94963315
-8.971987121,-25.6729951,0,0,63.03979006,-56.21975362,-4.967706317,0.701430506,189.2643739,-34.86241507,0,0,228.5611486,0,0,248.3044981
36.52299225,41.53371447,0,0,-159.290434,80.49749093,-33.84268335,0.696799819,-301.5988361,16.04857133,0,0,-427.5238604,0,0,-126.9172101
5.422064351,-2.875177904,0,0,32.95275111,42.73296453,11.52001881,0.692169313,-188.6567672,50.77834525,0,0,-237.9453032,0,0,-47.07280074
9.856948601,-10.68589996,0,0,114.0762948,-33.70910971,9.439547599,0.687539103,233.1794858,-1.486092479,0,0,292.844366,0,0,265.9148666
31.03897167,18.76267338,0,0,-42.9000072,57.09086096,5.245802389,0.682909306,-91.46143695,25.3175432,0,0,-122.8926779,0,0,41.83712312
-10.12606307,-24.85908603,0,0,49.81608984,21.38963811,31.18147661,0.678280035,-41.90973376,27.26742284,0,0,-38.50992898,0,0,84.23484291
-28.25922529,-41.45292235,0,0,108.0730381,-29.89673802,27.09828829,0.673651407,116.3493643,-2.826411594,0,0,148.1195391,0,0,198.5117876
-1.841867401,-4.870444015,0,0,-4.135397739,20.37816089,-3.372619474,0.669023535,-38.72613991,-5.159387406,0,0,-89.78332464,0,0,77.98148436
-14.13195096,-21.14131919,0,0,71.68974078,12.5411246,15.88468209,0.664396533,-33.66337749,20.93306317,0,0,-47.39162372,0,0,78.00359029
-5.676314765,-11.53938829,0,0,37.74337824,-15.671618,2.458451147,0.659770515,121.0726733,-14.41046848,0,0,140.6418104,0,0,184.8234636
4.311755961,1.904977619,0,0,-35.92656674,37.95526095,4.97837337,0.655145594,-127.9175933,16.10698062,0,0,-175.6035801,0,0,2.908015723
-22.87484659,-38.93873425,0,0,125.1700816,-24.47951539,36.04741061,0.650521882,58.5524331,20.03946148,0,0,92.98902835,0,0,142.9483097
17.83779598,11.90911106,0,0,-28.5504912,-2.779978126,-14.47280896,0.645899491,41.45319483,-10.95333556,0,0,21.42101963,0,0,120.4145692
-5.194254967,-17.49308477,0,0,37.33928859,10.10409547,9.832928989,0.641278532,-156.1560893,45.82998192,0,0,-179.9275226,0,0,-18.70430987
