Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,,,,
572.6399996,2236,1098.929127,1657.082155,1126.347715,1665.198225,588.6290454,-4748.173352,-0.005026102,1775.605223,-5528.382873,-5103.126118,942.8145774,1681.239039,-5165.122355,-4837.432376,3321.508671,4675.259184,,,,
572.6479996,2236,1092.308744,1652.825429,1119.450475,1660.982515,583.0516108,-5317.732106,-0.005009452,1770.724289,-4247.524936,-5983.422373,933.6552236,1677.047362,-5995.567907,-3932.330354,3318.83272,4671.935281,,,,
572.6559996,2236,1085.686179,1648.543281,1112.551434,1656.741018,577.481117,-4348.33134,-0.004991382,1765.817357,-5304.637386,-5486.330584,924.507874,1672.829405,-5539.544021,-4454.843962,3316.083172,4668.50609,,,,
572.6639996,2236,1079.061607,1644.235925,1105.65077,1652.473951,571.9176762,-5038.157434,-0.004973931,1760.88465,-4916.255035,-5291.900443,915.3727109,1668.585372,-5376.450554,-4588.310306,3313.260377,4664.972096,,,,
572.6719996,2237,1072.435206,1639.90356,1098.748669,1648.181514,566.3614002,-4614.828063,-0.004957293,1755.926397,-4457.096626,-5991.67027,906.2499151,1664.315477,-6034.314132,-3852.263655,3310.364686,4661.333789,,,,
572.6799996,2237,1065.80715,1635.546395,1091.845305,1643.863915,560.8124,-4381.746083,-0.004938269,1750.942819,-5528.461045,-4891.027489,897.1396668,1660.019928,-5065.08684,-4871.954936,3307.396456,4657.591662,,,,
572.6879996,2237,1059.177617,1631.164638,1084.940862,1639.521359,555.2707862,-4973.990195,-0.004920166,1745.934137,-4269.139852,-5749.744353,888.0421451,1655.698922,-5900.165397,-3971.072589,3304.356047,4653.746217,,,,
572.6959996,2237,1052.546782,1626.758491,1078.035521,1635.154052,549.7366687,-4047.502163,-0.00490334,1740.900579,-5274.36841,-5217.056358,878.9575282,1651.352679,-5447.625216,-4450.908013,3301.243812,4649.797954,,,,
572.7039996,2237,1045.914808,1622.328164,1071.129459,1630.762203,544.2101567,-4767.325309,-0.004885473,1735.842369,-4889.7168,-4992.128236,869.885993,1646.981405,-5297.810146,-4574.705629,3298.060099,4645.747361,,,,
572.7119996,2237,1039.281873,1617.873857,1064.222848,1626.346016,538.6913591,-4354.830612,-0.004866977,1730.759727,-4546.204692,-5682.056244,860.8277158,1642.585305,-5958.54789,-3931.165199,3294.805268,4641.594934,,,,
572.7199996,2237,1032.648153,1613.395778,1057.315876,1621.905696,533.1803838,-4146.156216,-0.004848597,1725.652876,-5630.982413,-4615.33109,851.7828716,1638.164583,-4989.98332,-4974.428933,3291.479678,4637.341177,,,,
572.7279996,2237,1026.013812,1608.894134,1050.408715,1617.441448,527.6773384,-4766.389168,-0.004831347,1720.52204,-4307.284687,-5546.137225,842.7516346,1633.719448,-5837.940545,-4030.838516,3288.083688,4632.986582,,,,
572.7359996,2237,1019.379032,1604.36913,1043.501533,1612.953481,522.1823298,-3848.601451,-0.00481298,1715.367443,-5313.42885,-5103.69692,833.7341779,1629.250105,-5392.157003,-4506.926442,3284.617652,4628.531653,,,,
572.7439996,2237,1012.743973,1599.820966,1036.594511,1608.441997,516.6954643,-4571.496388,-0.004794598,1710.189304,-4934.632035,-4980.572156,824.7306736,1624.75676,-5238.242848,-4629.756521,3281.08193,4623.97689,,,,
572.7519996,2237,1006.1088,1595.249845,1029.687829,1603.907199,511.2168474,-4171.960766,-0.00477715,1704.987844,-4523.256585,-5751.87169,815.7412928,1620.239627,-5898.702252,-3932.13266,3277.476883,4619.322789,,,,
572.7599996,2237,999.4736943,1590.655976,1022.781657,1599.3493,505.7465844,-3969.833325,-0.004758358,1699.763286,-5566.699327,-4716.018522,806.7662058,1615.698902,-4936.99503,-4931.638822,3273.802865,4614.569854,,,,
572.7679996,2237,992.8388194,1586.039568,1015.876163,1594.768495,500.2847797,-4577.867597,-0.004739379,1694.515852,-4306.448728,-5621.308103,797.8055815,1611.134796,-5784.16577,-4033.063543,3270.060232,4609.718584,,,,
572.7759996,2237,986.2043341,1581.400816,1008.971528,1590.164987,494.8315371,-3655.146345,-0.004721595,1689.245764,-5354.402911,-5109.259352,788.8595881,1606.547514,-5335.190269,-4553.089152,3266.249345,4604.769483,,,,
572.7839996,2237,979.5704137,1576.739925,1002.067918,1585.538992,489.3869599,-4387.213741,-0.004703689,1683.953241,-4920.61879,-4909.30741,779.9283927,1601.937263,-5192.751597,-4640.583907,3262.370571,4599.723051,,,,
572.7919996,2237,972.9372236,1572.057104,995.165499,1580.890706,483.9511508,-3983.516835,-0.004684715,1678.638501,-4490.484805,-5611.266405,771.0121615,1597.304249,-5860.63505,-3933.955153,3258.424267,4594.579793,,,,
572.7999996,2237,966.304925,1567.352549,988.2644485,1576.220331,478.5242118,-3772.897864,-0.004666539,1673.301766,-5555.50753,-4518.121566,762.1110596,1592.648671,-4894.547349,-4955.223127,3254.410788,4589.340213,,,,
572.8079996,2237,959.6736903,1562.626465,981.3649376,1571.528073,473.1062443,-4368.055119,-0.004647967,1667.943258,-4267.875434,-5403.757246,753.2252511,1587.970739,-5740.236689,-4015.983844,3250.330496,4584.004809,,,,
572.8159996,2237,953.0436761,1557.879062,974.4671343,1566.814131,467.6973491,-3419.616517,-0.004628745,1662.563196,-5312.583966,-4909.642218,744.3548991,1583.270656,-5285.487377,-4525.066196,3246.183755,4578.574088,,,,
572.8239996,2237,946.4150467,1553.110531,967.5711984,1562.078714,462.2976265,-4133.478719,-0.004610455,1657.161799,-4897.828519,-4747.175473,735.5001658,1578.548624,-5134.460261,-4636.138858,3241.970926,4573.048564,,,,
572.8319996,2237,939.787965,1548.321076,960.6773072,1557.322026,456.9071762,-3699.260804,-0.00459199,1651.739284,-4520.288475,-5501.216004,726.6612122,1573.804854,-5796.62461,-3961.599796,3237.692367,4567.428731,,,,
572.8399996,2237,933.1625953,1543.510908,953.785626,1552.544262,451.526097,-3452.940903,-0.004573562,1646.295869,-5649.897303,-4473.030938,717.8381985,1569.039546,-4824.806903,-5048.118038,3233.348443,4561.715094,,,,
572.8479996,2237,926.539099,1538.68022,946.896314,1547.745627,446.1544874,-4048.330738,-0.004554799,1640.831776,-4335.627989,-5417.284922,709.0312837,1564.2529,-5669.774414,-4111.00661,3228.939518,4555.908165,,,,
572.8559996,2237,919.9176328,1533.829214,940.0095463,1542.926328,440.7924451,-3109.733499,-0.004535078,1635.347221,-5352.757978,-4945.784291,700.2406259,1559.445121,-5220.819376,-4588.105721,3224.465945,4550.008448,,,,
