Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,,,,
40.15199997,156,0,68.3988557,-49.73584841,-4.140067734,-47.44244814,-10.76991351,-25.5034675,-14.38415699,26.87316797,44.21564908,-59.95451301,0,22.71170799,22.60778851,-158.0158189,-55.6345885,,,,
40.15999997,156,0,-14.68457786,-91.37029995,-43.88468787,-14.63816654,-51.23251856,-53.27395297,-39.96548076,-35.34824706,-16.54850628,44.29180309,0,-40.60676884,-33.91516168,-82.43356264,-7.629575104,,,,
40.16799997,156,0,74.36753299,8.055675112,57.1718216,-32.97439418,41.23398492,25.8623691,32.08844325,24.80056372,24.05368226,-70.51267196,0,25.40808231,8.258229694,-3.073481547,-8.191353865,,,,
40.17599997,156,0,11.71883645,-97.31395027,-52.65652591,-81.73280839,-62.53155244,-79.1535016,-75.48543713,-4.488948472,-1.471854344,57.45106967,0,-19.24270583,-14.59695839,-136.8013169,-39.80415312,,,,
40.18399997,156,0,22.71034147,-13.3102309,33.7521011,-21.73331399,12.66634209,19.006231,16.95751737,-55.13036664,-55.12079298,-2.421942818,0,-62.14099743,-67.6537685,32.10489082,2.130465989,,,,
40.19199997,157,0,111.5711268,4.298387708,45.66475972,1.168442357,27.9969902,18.48162229,23.1743425,100.8351615,91.92995905,0.144060685,0,94.06606048,68.56356307,-105.2701077,4.385415651,,,,
40.19999997,157,0,-6.433353161,-80.85328151,-41.43270514,1.929446746,-55.30055398,-57.24607282,-47.55468245,-9.468578239,-6.239414154,76.26460593,0,-18.01889071,-23.15409986,-46.31289405,16.83742279,,,,
40.20799997,157,0,85.45431567,28.35702355,65.01730416,-12.17097877,45.78236649,53.29653084,57.35747895,14.55857947,11.85167557,-75.51157015,0,14.03157367,-6.946088908,-0.389473717,-11.15801276,,,,
40.21599997,157,0,24.58669798,-69.85003195,-37.22043842,-44.30276313,-45.88100969,-47.71664395,-42.43814107,16.68666328,14.97041747,74.90620646,0,7.732036222,-5.897405753,-119.9453634,-15.92494764,,,,
40.22399997,157,0,-20.12717162,-44.99568057,-11.51953989,-40.46791293,-21.90584861,-19.98806791,-17.89767032,-68.7363333,-69.07195555,-8.856990571,0,-75.16918757,-75.41862811,35.2903929,2.49214534,,,,
40.23199997,157,0,37.71023054,-50.43272856,-26.96043398,-54.71136067,-32.53237004,-36.27249591,-26.34177096,23.35519805,21.98265551,-70.60587947,0,20.36681943,13.23268577,-150.3806335,-49.05255015,,,,
40.23999997,157,0,-43.8031317,-89.53177623,-69.04148732,-37.91863516,-75.30971576,-87.33107528,-72.38976154,-65.2923123,-57.79222489,5.654808577,0,-65.53968552,-65.16857169,-97.24470286,-27.41787752,,,,
40.24799997,157,0,72.58841413,45.49578562,59.52627461,-57.02088991,52.47401903,26.21677158,37.94256873,10.32249949,10.25898429,-102.5304563,0,13.66852622,-0.389813104,-23.18373736,-12.28640007,,,,
40.25599997,157,0,8.767301515,-46.94511408,-48.46507612,-86.91478276,-41.08943755,-50.49816751,-42.05443236,2.126311574,8.453818228,55.69815664,0,4.927117859,-6.011658264,-134.8238929,-18.63545706,,,,
40.26399997,157,0,-13.29706121,9.77484077,-2.048431947,-55.87323857,1.014256265,-4.462514638,-5.612466168,-86.90890029,-80.95202462,-21.76099941,0,-73.51857919,-84.72640314,21.90170623,-5.864302661,,,,
40.27199997,157,0,65.7115819,24.54651705,-0.738017758,-60.46930618,10.61710536,-15.79708481,-17.3268502,47.63096855,39.48205998,-51.71010214,0,52.35556849,36.44405461,-149.2210549,-26.40153194,,,,
40.27999997,157,0,-43.93646656,-40.55453381,-76.88490563,-42.10454395,-60.53787137,-39.32849056,-70.83575247,-55.87287571,-51.66418683,19.84795422,0,-47.44193023,-55.71166765,-90.3040477,-7.880216082,,,,
40.28799997,157,0,61.50680289,88.57006465,38.71653826,-52.61140566,52.85691183,78.89222475,45.7654514,-29.60965807,-25.08067621,-122.2251959,0,-6.08403243,-31.80064559,-26.85255538,-29.81010946,,,,
40.29599997,157,0,26.95639709,25.26948955,-34.79262509,-62.86125376,-9.141358335,-18.44962166,-22.75390937,-2.668290579,-5.910403476,53.32574064,0,5.607100806,-7.148277984,-130.9039774,-14.27573539,,,,
40.30399997,157,0,-7.216000832,61.26199002,-4.553212428,-16.01694847,17.69180099,10.89221341,-11.55689208,-58.2263219,-49.89103471,7.466539743,0,-45.49967129,-59.13034298,45.29739001,30.11750735,,,,
40.31199997,157,0,39.8309815,37.6100138,-38.77359944,-37.49851474,-7.99791962,-28.83824846,-39.88696552,29.39435645,47.87135646,-49.84068489,0,43.85276728,16.2798572,-141.7056166,-29.64013249,,,,
40.31999997,157,0,-31.94077533,7.789902559,-68.14391194,17.77112856,-33.7205957,-43.4624586,-48.09716995,-69.74576114,-56.53561111,17.89577583,0,-57.21763167,-73.2770677,-102.3986791,-16.09674581,,,,
40.32799997,157,0,71.72815945,119.059275,41.71883597,44.48076008,72.25350734,66.51454857,51.31854519,-15.56357984,-13.88333948,-89.90119176,0,10.20212872,-17.06676837,-19.9875109,-1.888224734,,,,
40.33599997,157,0,-20.54437663,-18.40850153,-99.0301164,-13.76788157,-59.78916408,-77.36091721,-80.42866577,-27.94641407,-19.70647611,52.40810974,0,-13.71044593,-32.21632107,-134.4939556,-20.4223746,,,,
40.34399997,157,0,-13.87786171,56.43951566,-18.26013903,41.59621395,14.92019617,-0.077821486,-10.31105699,-99.39147356,-91.19638093,-35.91606101,0,-81.90041181,-102.3493218,4.659223391,-3.865215109,,,,
40.35199997,157,0,84.22876707,78.8474144,2.323731775,62.47664373,40.96192575,15.93691071,14.21337847,36.22890048,41.20725306,-47.4367645,0,57.95500562,27.38496973,-147.3189316,-11.51248519,,,,
40.35999997,157,0,-14.47071245,11.67451031,-64.21855441,76.99067338,-25.21835696,-37.12989403,-40.4069099,-28.39436294,-10.26112749,59.98667683,0,-15.22390534,-32.23024396,-63.9023979,28.53100012,,,,
40.36799997,157,0,87.38188142,124.7059953,53.18070729,54.67253394,83.11335849,67.20455479,56.2219858,9.954125736,21.34303659,-73.38859083,0,30.85132129,-0.513320461,-2.765131154,9.636950053,,,,
40.37599997,157,0,21.65916744,20.8273673,-43.45357441,-12.15624646,-11.29540195,-42.17987346,-37.89209754,-3.935589033,1.915941829,72.39894863,0,9.441867877,-12.72516323,-118.4504883,-6.606157582,,,,
40.38399997,157,0,-7.057860124,57.09061354,1.136210014,-1.481131152,27.14346722,-17.81876297,-12.55738569,-60.71720776,-49.05075173,7.975965339,0,-49.01297331,-59.80527694,40.26518594,30.67862229,,,,
40.39199997,157,0,44.57038348,36.2612045,-25.01459387,-47.48580778,8.755618779,-45.08654588,-36.47264892,37.57714171,53.25505835,-43.38679711,0,56.23168177,31.06538555,-149.1009784,-15.03610151,,,,
40.39999997,157,0,-71.27866798,-35.99283051,-97.79218693,-51.81925163,-66.39917942,-68.70307366,-82.14269086,-86.55461926,-65.19302719,5.9883142,0,-64.75410178,-81.1686111,-109.2147684,-22.66515162,,,,
40.40799997,157,0,45.22107898,98.26981728,39.23736314,-26.39785728,59.34207125,57.61245953,35.83153004,-34.2649986,-25.44498106,-121.2096232,0,-10.26976207,-28.4710283,-39.177242,-24.49933286,,,,
40.41599997,157,0,12.08183535,16.26417822,-38.84030941,-46.32366036,-16.78708352,-41.48020556,-33.98434822,6.338535022,13.54345134,68.80481668,0,23.45790945,0.165813723,-123.7011376,2.141370006,,,,
40.42399997,157,0,-36.39582543,21.30520826,-26.99159932,-46.63197034,-12.9842077,-10.25209623,-14.27650232,-79.52890347,-63.07412485,-12.18041303,0,-59.34362782,-82.11697306,32.2781609,14.89827364,,,,
40.43199997,157,0,31.02019918,20.37145093,-28.4860648,-57.78589556,-6.979655374,-16.20333421,-16.79317014,-5.435669194,9.506190731,-91.26434661,0,7.346928956,-7.910545535,-166.1229108,-51.56827356,,,,
40.43999997,157,0,-25.82732212,1.924322042,-39.25909602,16.7721082,-18.55387836,-37.04948772,-35.09062554,-55.93800863,-40.96980148,18.35297393,0,-42.37637876,-51.37242329,-85.0393037,1.414730347,,,,
40.44799997,158,0,82.20141338,114.1091385,77.18071926,66.62105129,89.5367027,75.6949769,56.75462615,14.55882695,24.59574214,-75.61634821,0,31.84093969,12.2402796,2.422758725,16.18247607,,,,
40.45599997,158,0,47.06556773,36.57650957,-1.291507538,60.52054515,20.45857767,-1.564794757,-1.095886141,21.91344224,40.43900647,87.96888969,0,27.45835421,20.93711252,-104.5546595,17.65179859,,,,
40.46399997,158,0,25.67623649,77.96463233,44.24717278,85.40070639,61.2408036,35.7539596,41.32504469,-23.80365696,-0.063225672,39.17951992,0,-7.420624984,-14.1854818,69.57217332,65.53700448,,,,
40.47199997,158,0,61.58757481,36.66594917,1.106934238,36.81299309,20.24424857,-13.62262841,-14.50880484,57.5112448,76.19300032,-21.0672638,0,67.88685216,52.98313047,-114.0462271,5.7906163,,,,
40.47999997,158,0,-34.497619,-22.7705123,-54.41650559,21.40319925,-38.19189425,-65.39495581,-65.03528874,-48.38268096,-34.23707319,34.85866034,0,-44.27889261,-55.28532718,-79.01863173,4.663683709,,,,
40.48799997,158,0,49.09145538,77.67116444,51.45031343,-6.035605453,58.95352864,33.2864238,32.42517226,-4.274991651,0.598199287,-90.13148249,0,9.82046931,-10.52026817,-28.99538041,-5.940236912,,,,
40.49599997,158,0,-22.25967051,-27.25751788,-49.10840944,-58.05902049,-37.89576711,-57.44773341,-50.08063244,-25.99929309,-6.785102346,55.46672118,0,-15.05007479,-23.60705564,-144.1255977,-20.71850438,,,,
40.50399997,158,0,-43.80194831,14.49540108,-1.434354777,-31.86023929,0.949798665,-10.20672255,-7.247423081,-79.42672358,-64.62773019,-6.4482175,0,-58.72901207,-71.9674806,23.64140216,14.95100374,,,,
40.51199997,158,0,11.99515691,-8.972367447,-27.14026227,-56.14722843,-23.0335433,-41.62376121,-34.17407489,14.89197726,19.9949688,-61.06751345,0,35.12340894,16.50224275,-157.009451,-36.9548139,,,,
40.51999997,158,0,-77.30398022,-58.25630775,-74.44867679,-55.26014121,-72.49260297,-78.74135214,-67.87859727,-98.21113332,-88.80182408,-9.284212742,0,-80.96931784,-89.13772847,-118.7543302,-33.85793527,,,,
40.52799997,158,0,27.54066352,62.42928408,47.82600677,-47.49096013,42.58021021,37.01941091,41.48952428,-22.6186903,-37.03711692,-114.7256076,0,-4.996883493,-31.0015194,-49.60553513,-22.76068272,,,,
40.53599997,158,0,-27.47193161,-32.8008213,-46.20748978,-72.0055751,-47.37341978,-54.69985283,-48.12571365,-22.59398274,-22.05074199,47.615808,0,-11.22434311,-26.37079592,-144.8095275,-21.89777676,,,,
40.54399997,158,0,-48.01718065,17.28923271,7.995857589,-40.89961269,0.475145738,-16.01856472,-11.08912204,-95.98658547,-78.25954649,-25.98920775,0,-74.1407545,-82.53203952,11.74291102,6.435302783,,,,
40.55199997,158,0,38.95094118,29.38166341,17.36121944,-11.47288541,19.2449296,-24.65791825,-5.541495904,36.02039628,41.47147763,-47.08264823,0,51.09692783,34.32694736,-154.5029972,-15.7258304,,,,
40.55999997,158,0,-41.9712487,-23.41701313,-35.72960962,70.53570864,-29.68222141,-65.08171083,-46.06528224,-45.13424417,-24.0580818,42.73227424,0,-36.85354717,-37.33591387,-84.87966302,16.56346732,,,,
40.56799997,158,0,49.99319271,80.08537476,61.09989992,155.657632,61.44583786,24.43122061,31.83428223,-5.093598511,11.11528227,-84.80256034,0,13.4120015,-1.922335643,-43.43925717,-2.141420561,,,,
40.57599997,158,0,24.83088508,15.75290048,-5.300733487,203.9601948,2.923481871,-29.79904949,-15.76860494,9.577448037,16.93287046,79.87144001,0,24.87251161,3.746132216,-163.8033781,-5.175201831,,,,
40.58399997,158,0,-7.989484192,48.45775058,33.99774009,240.6786693,40.54420145,40.81487834,31.59914573,-44.83567539,-33.47196162,23.51677856,0,-29.78704256,-37.61974867,15.44964066,45.86400967,,,,
