Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,,,,
476.6479997,1861,-123.214257,-37.75853672,662.6191283,1.66080527,-108.5654325,34.10584508,-29.70940788,68.81508406,-34.52046746,-387.5422992,-46.21055573,-1252.465101,0.748507326,-87.75139868,-51.21937896,-109.5538982,,,,
476.6559997,1861,-80.26132313,27.65207497,554.7722733,-38.62675329,-93.30970055,42.53570412,29.04121579,98.3391365,-34.03480905,-2.150063336,96.1896937,-69.56790221,-10.47755368,-35.58090794,-182.595128,-123.0755949,,,,
476.6639997,1861,-268.5851205,-204.6764229,553.1749643,-15.60547639,-43.50748327,47.32802237,143.7059566,90.06002166,-27.37378031,-363.1087456,-29.13891602,-868.3602867,30.26379493,-91.1232609,-69.07901342,-88.91838978,,,,
476.6719997,1862,-1.145731241,102.8264412,624.8821143,259.5882851,-130.1306928,42.3298453,-107.8298991,58.11467543,-18.73597105,-127.5806116,58.14038352,-757.3473611,-11.39336277,-54.61772009,-113.7932293,-117.1578658,,,,
476.6799997,1862,-232.381356,-172.9743264,527.5517766,300.8104897,-47.47087889,31.14350138,162.0466412,81.06903709,-50.39834421,-136.2864074,28.8667034,-130.4150626,-4.162138397,-85.36148022,-170.4620499,-129.4139908,,,,
476.6879997,1862,-126.9387981,-53.01982491,637.4572461,421.111619,-103.8236443,37.51163671,-34.39152165,48.0141235,-38.25384453,-379.9115178,-48.03712734,-1228.960211,-12.66982141,-106.3623392,-57.51864107,-119.9296209,,,,
476.6959997,1862,-79.36540548,16.44997584,554.0330208,278.8008135,-92.77941987,41.97348118,16.13776878,74.90921983,-44.80719136,-3.064934913,87.03410917,-38.77488711,-29.52074247,-61.94743551,-190.9984707,-143.3006068,,,,
476.7039997,1862,-270.5143919,-209.1133751,555.3815102,212.8494357,-34.71475959,67.11420378,148.0072267,88.02241578,-46.25105788,-370.0240279,-43.5445707,-808.6064977,11.5614914,-108.3968771,-73.55622774,-103.5626133,,,,
476.7119997,1862,-0.189237561,107.3785041,618.6700042,210.8292448,-121.2801275,78.99477753,-95.30208847,67.79154761,-28.69875887,-146.3642364,54.85822157,-725.4178064,-14.12670528,-55.16441632,-102.0396643,-110.3456379,,,,
476.7199997,1862,-226.8037774,-166.885216,523.2426706,40.29758058,-45.48463303,61.99026664,165.0673198,79.81152296,-54.69974191,-141.711764,40.97079268,-89.03789154,-0.171808451,-82.21126236,-160.6279032,-117.4356397,,,,
476.7279997,1862,-121.0252705,-41.3959142,598.2691223,242.082953,-80.33441466,85.70444425,-15.63049351,64.47370785,-45.38944901,-378.6808281,-34.24055757,-1201.77759,-3.159490801,-96.46431625,-47.82220895,-100.5160574,,,,
476.7359997,1862,-62.88850636,35.58043544,491.2498769,202.5612933,-60.55731782,89.50104647,41.08538853,91.34817904,-38.18235282,11.09969279,114.2614096,-31.47086313,-4.474524239,-30.59080594,-165.8685214,-108.0364245,,,,
476.7439997,1862,-261.4129869,-209.6950829,494.2068882,190.59669,-23.21202209,75.55592131,153.6587347,68.44662621,-41.35360829,-352.6315455,-20.18022604,-771.6667024,22.84668709,-82.21234585,-53.90894222,-87.485917,,,,
476.7519997,1862,2.996945972,109.5952461,512.719448,315.4551034,-100.9563095,89.13305769,-88.67441506,55.56867897,-36.46927829,-135.3321111,61.56716093,-696.4748421,-13.70163124,-37.97912685,-90.77352158,-108.5488572,,,,
476.7599997,1862,-221.3742488,-154.5942018,382.3641787,152.8812181,-11.35372175,84.59712349,188.6566667,82.95845751,-48.98755083,-118.1860811,52.72540649,-62.15435112,17.46526108,-55.66012057,-140.6988791,-97.92160039,,,,
