Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,,,,
658.0559995,2570,0,45.56281074,0,0,0,0,0,0,-331.6870067,0,0,0,0,0,0,0,,,,
658.0639995,2570,0,-927.3084221,0,0,0,0,0,0,-26.4493881,0,0,0,0,0,0,0,,,,
658.0719995,2570,0,1130.852138,0,0,0,0,0,0,-23.96242551,0,0,0,0,0,0,0,,,,
658.0799995,2570,0,-1200.302604,0,0,0,0,0,0,-315.8077062,0,0,0,0,0,0,0,,,,
658.0879995,2570,0,495.6273429,0,0,0,0,0,0,189.4971287,0,0,0,0,0,0,0,,,,
658.0959995,2570,0,-514.0203217,0,0,0,0,0,0,-484.3946231,0,0,0,0,0,0,0,,,,
658.1039995,2570,0,-3186.929304,0,0,0,0,0,0,-323.2230438,0,0,0,0,0,0,0,,,,
658.1119995,2570,0,-777.7708744,0,0,0,0,0,0,16.44125068,0,0,0,0,0,0,0,,,,
658.1199995,2570,0,-653.2447529,0,0,0,0,0,0,-217.0207551,0,0,0,0,0,0,0,,,,
658.1279995,2570,0,737.3069982,0,0,0,0,0,0,120.639281,0,0,0,0,0,0,0,,,,
658.1359995,2570,0,-266.076054,0,0,0,0,0,0,-237.4598375,0,0,0,0,0,0,0,,,,
658.1439995,2570,0,-576.2833092,0,0,0,0,0,0,-4.115713104,0,0,0,0,0,0,0,,,,
658.1519995,2570,0,1030.832139,0,0,0,0,0,0,-8.424682119,0,0,0,0,0,0,0,,,,
658.1599995,2570,0,-1174.832039,0,0,0,0,0,0,-281.9188899,0,0,0,0,0,0,0,,,,
658.1679995,2570,0,603.9245626,0,0,0,0,0,0,162.2839936,0,0,0,0,0,0,0,,,,
658.1759995,2571,0,3.475396376,0,0,0,0,0,0,-271.9820975,0,0,0,0,0,0,0,,,,
658.1839995,2571,0,-833.1234872,0,0,0,0,0,0,-15.91385533,0,0,0,0,0,0,0,,,,
