Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,,,,
473.9839997,1851,1290.943994,1291.043504,1291.448912,0,1291.864996,1291.371344,1291.03121,1290.999732,1300.84894,1300.61067,1300.553565,1300.34932,1300.038022,1300.074014,1300.023118,1301.057037,,,,
473.9919997,1851,1270.164683,1270.199653,1270.428282,0,1270.953766,1270.615223,1270.64044,1270.038191,1279.845458,1279.557833,1279.6027,1279.405374,1279.185349,1278.906938,1279.058694,1280.199209,,,,
473.9999997,1851,1249.287614,1249.45258,1249.474264,0,1250.005144,1249.568649,1249.839023,1249.200445,1258.937542,1258.564555,1258.539126,1258.433766,1258.252519,1258.316954,1258.28691,1259.165242,,,,
474.0079997,1851,1228.525829,1228.827556,1228.690348,0,1229.380589,1228.848098,1228.840761,1228.618766,1238.255305,1237.870604,1237.866632,1237.559691,1237.30129,1237.520592,1237.415874,1238.322967,,,,
474.0159997,1851,1207.967214,1208.435887,1208.157666,0,1209.023437,1208.513082,1208.309828,1208.144228,1217.757831,1217.246858,1217.374908,1217.184807,1216.521303,1216.659676,1216.882297,1217.763551,,,,
474.0239997,1851,1187.656494,1187.985435,1188.056587,0,1188.837275,1188.010017,1187.949092,1187.632135,1197.185736,1196.73972,1196.874047,1196.805984,1196.270269,1196.230599,1196.387921,1197.152463,,,,
474.0319997,1851,1167.581143,1167.644038,1167.919735,0,1168.408287,1167.895064,1167.789074,1167.414442,1176.825847,1176.363836,1176.497293,1176.326345,1176.164637,1175.919253,1176.061474,1177.038439,,,,
474.0399997,1851,1147.304891,1147.558526,1147.674407,0,1148.013634,1147.783554,1147.445896,1147.372971,1156.751867,1156.209893,1156.387018,1156.234832,1155.877658,1155.902505,1155.869014,1156.983356,,,,
474.0479997,1851,1127.282244,1127.482354,1127.546561,0,1128.178335,1127.590104,1127.48962,1127.485294,1136.750763,1136.356304,1136.577958,1136.407936,1135.993196,1136.168226,1135.928092,1136.860529,,,,
474.0559997,1851,303.3215962,303.2909207,303.2732271,0,303.568357,303.3714856,303.5341037,303.3780174,983.2157477,983.002788,983.0871151,983.0182872,982.6053608,982.7749132,982.6196025,983.3575587,,,,
