Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Aux1,Aux2,Aux3
303.0879998,1183,16.12311457,321.217761,-264.0703197,0.000157965,-96.39002113,0.000157965,-107.9000017,0.687443442,72.41960725,-14.78450231,-275.7004291,0.000157965,-76.98014988,42.07554808,0.000157965,0.000157965,0.00175484,0.002438152,0.008520406
303.0959998,1183,-57.62711796,246.1098689,309.867568,0.000186937,466.5317407,0.000186937,201.2007343,0.687844446,-64.37310262,13.36105378,80.85330267,0.000186937,-5.606363105,42.06080969,0.000186937,0.000186937,0.006058941,0.002521036,0.009892027
303.1039998,1184,41.13845564,336.5749873,-167.4773269,0.000215793,58.27137094,0.000215793,-139.1802296,0.688227099,-2.012127316,-33.27500424,218.6753193,0.000215793,-119.0674055,42.04509638,0.000215793,0.000215793,0.005777178,0.002672623,0.009648164
303.1119998,1184,-36.23369358,294.959658,7.435109984,0.000244533,127.1729477,0.000244533,52.3995381,0.68859146,57.34585758,11.65179387,-402.8711361,0.000244533,-80.1721243,42.02841213,0.000244533,0.000244533,0.004258052,0.00234483,0.009292231
303.1199998,1184,-11.58464214,276.9081293,209.0361269,0.000273157,413.3753211,0.000273157,76.38478405,0.688937585,-63.88189339,11.67468212,423.9535571,0.000273157,-33.79953109,42.01076094,0.000273157,0.000273157,0.005764182,0.002581557,0.009607275
303.1279998,1184,18.13280618,315.261387,-297.8867053,0.000301664,-114.0936496,0.000301664,-142.9871812,0.689265535,72.74981279,-15.78897754,-247.4615468,0.000301664,-135.9019707,41.99214683,0.000301664,0.000301664,0.003031371,0.000682018,0.011910365
303.1359998,1184,-49.69262449,238.485373,311.4777454,0.000330054,449.9586562,0.000330054,216.9836263,0.689575368,-35.70381602,29.70102391,11.81595965,0.000330054,-5.263156071,41.9725738,0.000330054,0.000330054,0.000372799,-0.002104619,0.016076325
303.1439998,1184,44.02907321,312.9971908,-149.8029379,0.000358327,75.55894189,0.000358327,-128.0330996,0.689867144,0.615995084,-10.93874486,282.4447803,0.000358327,-100.0318822,41.95204591,0.000358327,0.000358327,0.0010402,-0.001701388,0.015568233
303.1519998,1184,-40.78988869,272.6053491,-17.0845187,0.000386483,107.2995929,0.000386483,47.30361987,0.690140921,48.6916053,2.884516,-435.5757296,0.000386483,-83.29198243,41.93056717,0.000386483,0.000386483,0.001135428,-0.001081545,0.01424199
303.1599998,1184,-5.417398561,281.999643,238.8161781,0.00041452,436.1991103,0.00041452,93.1006015,0.690396759,-71.28975386,4.11627341,434.2647686,0.00041452,-13.47963084,41.90814165,0.00041452,0.00041452,0.000858778,-0.001769317,0.015458403
303.1679998,1184,27.13018126,345.0938643,-308.9144479,0.00044244,-132.290761,0.00044244,-163.1066674,0.690634718,72.58626251,-8.134956316,-227.884918,0.00044244,-120.3243624,41.88477339,0.00044244,0.00044244,0.001869489,0.000403913,0.016231559
303.1759998,1184,-70.79275932,242.3155606,326.2397898,0.000470241,467.8618976,0.000470241,223.4810919,0.690854859,-51.76050822,20.50749209,-7.310362017,0.000470241,4.480744146,41.86046646,0.000470241,0.000470241,0.003239629,0.003133535,0.019050423
303.1839998,1184,30.12262365,313.8477994,-124.4936357,0.000497924,113.6159655,0.000497924,-114.9630575,0.69105724,2.696372051,-22.75541474,322.0564841,0.000497924,-72.87432117,41.83522494,0.000497924,0.000497924,0.002954885,0.00261329,0.01887425
