Time:1Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id,Event Date,Event Duration
0.0000000000,0,9.4638288406,10.2775610621,7.7150548985,7.9566372009,8.7344003244,8.2281730339,7.9987483145,7.9387295977,8.5878327065,12.9692237885,9.9017483558,8.6098618451,8.4580905176,8.2183795383,8.0941536245,7.8786301968,,,
0.4959999998,1,10.6364087901,10.7960673617,9.0595679652,9.2820148327,9.8052048210,9.1887461648,9.0422205131,9.0678365351,9.3825447041,12.8847946699,11.2563275077,10.2083429141,9.3599023204,9.5817103927,8.9014906980,9.2174271723,,,
0.9919999999,2,11.2478632891,11.3603341102,10.5574123274,10.6679117100,10.5293117120,10.6922451566,10.5101507935,10.4401581772,10.8371196869,12.6342275667,11.9070895709,11.2013544361,10.5413149322,10.8032856222,10.5320270403,10.6414741979,,,
1.4879999999,3,10.9474289229,11.2590662121,10.4741306310,10.6058840740,10.3160603054,10.8085854089,10.5259865960,10.4322823431,10.7616840638,12.8695806706,11.6845000213,11.0780731076,10.4824906410,10.7672351063,10.5857294250,10.6614174943,,,
1.9839999999,4,9.7365037747,10.5567518207,8.8599297876,9.0175238021,9.4387099180,9.5883088620,9.1372887784,9.0697901308,8.9471642830,12.5922245039,10.8046696094,9.8866249115,9.1121412230,9.5353075490,9.0387548435,9.2563357381,,,
2.4800000000,5,8.2291135970,9.4756842435,8.5606933406,8.2797552912,8.9258733346,8.0355964161,8.6579010332,8.6905749017,8.2850859262,12.0375011450,9.6728818075,8.5174208825,8.5217710038,8.6051772640,7.9623806927,8.3755603643,,,
2.9759999998,6,9.2977379852,9.6258370360,9.4631423834,9.5304520550,8.5140996895,9.5276472430,9.8243942845,9.7075997299,9.2638851118,11.6770484410,9.3436810368,9.1960133063,9.1232981442,9.4443957669,9.6107526188,9.6878021639,,,
3.4719999998,7,9.3932595771,9.7476325839,9.5357730671,9.6759449107,8.6742086282,9.8281607156,10.0788802886,9.8353415553,9.3388321989,11.5285989825,8.8224329436,9.2668996279,9.2167691138,9.6115276397,9.8350360446,9.8466695596,,,
3.9679999999,8,8.1507089880,8.1310001611,8.6288833685,8.7429789184,8.2202811614,9.2690589245,9.4791817896,8.9292672007,8.4934942263,11.6995479581,9.1023580189,8.3280155638,8.4352712308,8.8507082675,9.0351938208,8.9807010867,,,
4.4639999999,9,7.8067918472,7.5048577839,7.9106444837,7.8753537883,7.8645625526,8.6157062010,8.4846686605,7.7783408997,8.3211215189,11.7398993886,9.6341989551,7.6496057165,7.8960057746,8.1244790647,8.1154526115,7.8801727755,,,
4.9600000000,10,7.9053002732,8.2304721390,8.8811683053,8.1178251802,7.7150199743,10.3484233798,7.3966420447,7.1677411422,8.3631093334,11.7417274079,9.5580552010,7.4774869176,7.8176408238,7.5100700551,6.9519897760,6.9987233819,,,
5.4559999998,11,9.1667764497,10.0315306611,9.5746362802,8.8387061985,7.9220535523,10.7528359266,7.9366338981,7.6683976613,8.4273869439,12.0846003605,9.0570381207,8.8372924689,8.0944589855,7.7366781489,7.4458399399,7.8660528579,,,
5.9519999998,12,9.4576529275,10.2157675941,9.2075685281,9.1838741820,8.7996152911,10.1298452448,8.8185265637,8.8707251068,8.2512908686,11.9977527507,8.8225878810,9.3079165405,8.6656611876,8.6021093452,8.3170310108,8.7099840629,,,
6.4479999999,13,8.6864833567,9.0665173853,8.2685012166,9.0036002144,8.8081232104,10.2369878311,8.7804533664,8.8626012443,8.2885989025,11.5814306159,8.7125242225,8.7410153687,8.8597516932,8.3822296242,8.1674286781,8.4635759812,,,
6.9439999999,14,9.2026364317,9.2151144814,10.0004423219,9.8930166390,10.3502940633,11.0756455798,9.8986615564,9.4516048865,9.3171163948,11.4910803877,8.9583640438,9.3864823622,9.5468439627,8.8237592368,9.2159272890,9.2587790650,,,
7.4399999999,15,9.3880170856,9.3799158638,10.2652921472,9.9632887696,10.5402386503,10.8740340583,10.0093669366,9.5838522944,9.5754212970,11.5337987190,9.5246050006,9.7015663517,9.6654909327,9.3364200132,9.4167446112,9.5060795986,,,
7.9360000000,16,8.4555209120,8.6123913275,9.7298469995,8.6487528467,9.2595833136,9.6467186743,8.6223442764,8.3396021286,8.8017050215,11.5601206664,9.5704333520,8.8366105611,8.7759920533,8.6675671121,8.2782713066,8.4733824216,,,
8.4319999998,17,8.2446252155,8.4665316935,9.5919450630,9.1451319658,8.6336360090,10.2865256165,9.3792842613,8.9949432633,8.2844284836,11.5904749021,8.9131494444,8.6570207122,8.5452869577,8.2409717384,8.5764350474,8.9177781438,,,
8.9279999998,18,8.6418777599,9.0946712269,9.0375395937,9.1699272224,9.1289824537,10.2542183220,9.3965467623,9.0474426097,8.4466875410,11.6342627137,8.7463521736,8.8793545777,8.8190158567,8.3950112985,8.6709263539,8.9973054007,,,
9.4239999999,19,8.3981536793,8.9620439848,8.4417198639,8.1827976593,9.2925266747,8.5994268611,8.1413671693,7.9562613448,8.2627810730,11.5680794671,8.7183652562,8.2765184826,8.6612995576,7.6163204719,7.9773713642,8.0616482246,,,
9.9199999999,20,7.9909514183,7.7781548064,8.3792171396,7.9838505656,8.7294627537,7.1012980891,7.9880426526,7.8176078114,9.2326755605,11.5446989552,8.5596107462,8.0659807963,8.3409958467,7.8422384527,7.9846748530,7.9157291360,,,
10.4160000000,21,8.2714209645,8.2419513800,7.8313130376,7.7890310674,7.7894060150,8.5651761132,7.9512697486,7.5037177354,9.2428300519,11.5459230212,8.5043242436,8.0717360050,8.1393469499,7.8711313978,7.5219558896,7.3609953031,,,
10.9119999998,22,8.5452017687,8.5966738867,7.9167563968,7.7970998895,7.8352863316,8.9450524302,7.9540721656,7.3406209081,8.8971618947,11.5080675563,8.7535928608,8.0584513476,8.0387959228,7.6723124752,7.4996539536,7.3730041540,,,
11.4079999998,23,8.3417474317,8.1708043685,7.9310583845,7.9126095457,7.6236883424,10.0273595783,7.9583108934,7.4843697397,8.8525147315,11.4915128083,8.8507592400,7.8377911741,8.1608533872,7.5191075222,7.4477895172,7.3287450559,,,
11.9039999999,24,9.2904805600,9.2927043074,9.0467396558,9.2900508112,10.2070799522,10.7191363362,9.2939886657,8.9886164408,9.4284141556,11.4874227064,9.2729395000,9.8258284745,9.9809895233,9.4929175528,8.9480800199,9.1517554988,,,
12.3999999999,25,9.8197030770,10.0572081916,9.8582269425,10.1074394245,10.4784151621,10.9383877249,10.0315126693,10.0202590145,9.8309078485,11.4080653629,10.5334552805,10.0366216732,10.1221836797,10.0023772158,9.7741923893,10.0050720605,,,
12.8959999999,26,10.0180591122,10.3798949975,10.0148818830,10.1685533525,9.7723989157,10.6151882145,10.0327943625,10.1372970391,9.9031853433,11.6101314843,10.8476659581,9.8550279274,9.9610147154,9.8061925580,9.8126114018,10.0012654536,,,
13.3920000000,27,10.0274544301,10.2924357484,9.8509208385,9.8775056119,9.9640055093,9.8503560393,9.8163798873,9.8415371326,10.0212883744,11.7735833697,10.3368760756,10.2607501527,10.2142791961,9.7638156622,9.6641469503,9.7833203699,,,
13.8879999998,28,9.7114291522,9.5046948638,9.6701082108,9.4331741200,9.7847895336,9.3564225984,9.8473784692,9.6416166583,10.2827797688,11.5881898711,9.3927758018,9.9710699125,9.9503129442,9.3886293685,9.6066066786,9.6345646488,,,
14.3839999998,29,9.2721954481,8.5617087089,9.1516308789,8.4555715424,8.7558394318,8.2444699573,9.5769774918,9.1132298195,10.1324516532,11.4975792186,8.9765456528,9.2848307707,9.3555443861,8.3613514887,9.1741903247,9.0730106771,,,
14.8799999999,30,8.2526113155,7.4522319181,8.0141061693,7.5131684102,8.5438050124,7.4965631545,8.8225740448,8.2525368268,8.9703760266,11.4508926715,9.1066650219,8.7866580787,8.2364508982,7.1718528073,8.0380392997,7.9725247748,,,
15.3759999999,31,7.8225990791,7.6399188392,7.5678326629,7.3010512584,8.4076310892,7.5645588255,8.4856041661,7.6439418281,8.4689402486,11.5732270565,9.4194938191,8.4784115915,8.1347128288,7.2586675313,7.0115190603,7.3100611369,,,
15.8720000000,32,8.2897989989,8.1575610139,7.8367217157,7.2792689859,7.9564753789,8.0117288255,8.7252806388,7.4655819604,8.7837843845,11.5553960438,9.3780665186,8.3533739289,8.5029824889,7.4120562644,7.1142066996,7.3221446912,,,
16.3679999998,33,8.9972149281,8.9336100784,8.5291042156,8.3994020664,8.1457706190,8.5357959633,8.6435438456,7.5606342688,9.0080281997,11.4877976946,9.3884105355,8.3554143871,8.4729796469,8.4450508156,7.4507616001,7.8037866856,,,
16.8639999998,34,9.0592158190,9.0188080950,8.5465529421,8.5606996045,8.1585898707,8.4970743100,8.4285599633,7.7804791601,8.8583462216,11.5766412027,9.3678768997,8.6849082331,8.2516744671,8.7844088725,7.8772986459,8.3261911672,,,
17.3599999999,35,8.8226490891,8.7539688219,8.0275121239,7.8763519392,8.2046780765,8.1976975581,8.2099479843,7.7830947050,8.7538388795,11.5088883603,9.0136731633,8.7746277835,8.2038839075,8.6768365295,7.8636516492,8.2643484633,,,
17.8559999999,36,9.1634138987,9.0638131548,7.9147613863,7.3917024623,8.1392557421,7.8660379490,7.9442655781,7.6511421988,8.7133371551,11.4178342315,8.6534887576,8.8120119822,8.2082122825,8.3583654531,7.7419044923,7.9429439886,,,
18.3520000000,37,9.0493380865,8.7230036020,8.2242537256,7.5499351244,7.9702626383,7.6593904950,7.9528917187,7.6550685578,8.9328460667,11.3299514669,8.5636289606,8.7405453996,8.8797175159,8.0998551788,7.8879615263,7.7866162241,,,
18.8480000000,38,8.1857413748,7.6963497330,8.0470535179,7.3719626408,7.9313889051,7.5087981620,7.7368991130,7.3581124697,8.8410902186,11.1770978908,8.6200584503,8.1005047753,8.7346957916,8.0340287635,7.5224870647,7.3869172178,,,
19.3439999998,39,8.2008689105,8.1056603719,7.5309559829,7.2738684157,7.7995975884,6.9781134903,7.4756211682,6.8781163532,8.1419295433,11.1471815975,8.8357389785,7.3449299521,7.7279819562,7.8559730076,6.6603427443,6.9800841165,,,
19.8399999999,40,8.4605995362,8.2134654463,8.4687971293,8.1978660725,7.7823894179,7.4131335389,7.8471411614,6.8268503359,8.1289160566,11.1392737864,9.4094929227,7.7121797126,7.7971219755,8.1039955100,6.7427651739,7.2938462402,,,
