Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,,,,
782.6319994,3057,-0.007423913,-0.007423913,23.87690969,-0.007423913,-56.53149295,-0.007423913,0.224920543,-0.007423913,-0.007423913,-37.02208201,-59.35895779,-0.007423913,-414.581396,-0.007423913,-0.007423913,-0.007423913,,,,
782.6399994,3057,-0.007348369,-0.007348369,-3.858059218,-0.007348369,-57.9422245,-0.007348369,-51.98599855,-0.007348369,-0.007348369,149.5281143,27.84002981,-0.007348369,-59.87490341,-0.007348369,-0.007348369,-0.007348369,,,,
782.6479994,3057,-0.00727293,-0.00727293,-46.81383914,-0.00727293,-33.78840309,-0.00727293,41.20158641,-0.00727293,-0.00727293,-61.27538214,-86.41209639,-0.00727293,-414.6856002,-0.00727293,-0.00727293,-0.00727293,,,,
782.6559994,3057,-0.007197596,-0.007197596,47.79247763,-0.007197596,-62.536576,-0.007197596,-49.23778419,-0.007197596,-0.007197596,97.13145854,35.1172966,-0.007197596,-187.0697835,-0.007197596,-0.007197596,-0.007197596,,,,
782.6639994,3057,-0.00712237,-0.00712237,-61.81320284,-0.00712237,-31.77299014,-0.00712237,12.29828949,-0.00712237,-0.00712237,27.24254451,-11.50400678,-0.00712237,-242.4819488,-0.00712237,-0.00712237,-0.00712237,,,,
782.6719994,3057,-0.007047252,-0.007047252,23.86814613,-0.007047252,-66.22295124,-0.007047252,13.65999212,-0.007047252,-0.007047252,-31.60719567,-49.21134724,-0.007047252,-397.9545228,-0.007047252,-0.007047252,-0.007047252,,,,
782.6799994,3057,-0.006972245,-0.006972245,-8.108643121,-0.006972245,-69.74451365,-0.006972245,-52.1431686,-0.006972245,-0.006972245,151.8148786,46.59188356,-0.006972245,-51.52983039,-0.006972245,-0.006972245,-0.006972245,,,,
782.6879994,3057,-0.00689735,-0.00689735,-43.99369112,-0.00689735,-38.1532651,-0.00689735,45.71600419,-0.00689735,-0.00689735,-66.17194202,-75.87938086,-0.00689735,-415.2992398,-0.00689735,-0.00689735,-0.00689735,,,,
782.6959994,3057,-0.006822568,-0.006822568,64.41309284,-0.006822568,-62.2538169,-0.006822568,-39.3332385,-0.006822568,-0.006822568,96.21814364,34.38135054,-0.006822568,-178.0991027,-0.006822568,-0.006822568,-0.006822568,,,,
782.7039994,3057,-0.0067479,-0.0067479,-47.30721173,-0.0067479,-20.30836741,-0.0067479,14.99320237,-0.0067479,-0.0067479,29.40584782,20.57465106,-0.0067479,-228.3904208,-0.0067479,-0.0067479,-0.0067479,,,,
782.7119994,3057,-0.006673349,-0.006673349,35.58096726,-0.006673349,-54.18211349,-0.006673349,21.84530905,-0.006673349,-0.006673349,-31.06390999,-23.12365613,-0.006673349,-397.3880426,-0.006673349,-0.006673349,-0.006673349,,,,
782.7199994,3057,-0.006598915,-0.006598915,4.839802006,-0.006598915,-68.56283155,-0.006598915,-40.33592644,-0.006598915,-0.006598915,167.0998717,43.06448165,-0.006598915,-29.46525984,-0.006598915,-0.006598915,-0.006598915,,,,
782.7279994,3057,-0.0065246,-0.0065246,-37.72310108,-0.0065246,-36.42036599,-0.0065246,60.12046421,-0.0065246,-0.0065246,-56.93827891,-72.29144581,-0.0065246,-398.8970995,-0.0065246,-0.0065246,-0.0065246,,,,
782.7359994,3057,-0.006450406,-0.006450406,70.20641557,-0.006450406,-65.54180688,-0.006450406,-32.6011987,-0.006450406,-0.006450406,97.6375694,39.54687243,-0.006450406,-179.0399332,-0.006450406,-0.006450406,-0.006450406,,,,
782.7439994,3057,-0.006376333,-0.006376333,-49.1699151,-0.006376333,-34.03956351,-0.006376333,8.670135569,-0.006376333,-0.006376333,38.44804549,5.948840961,-0.006376333,-210.9932477,-0.006376333,-0.006376333,-0.006376333,,,,
782.7519994,3057,-0.006302384,-0.006302384,26.03712801,-0.006302384,-66.7194919,-0.006302384,17.07953527,-0.006302384,-0.006302384,-41.69974171,-44.51298861,-0.006302384,-395.2467293,-0.006302384,-0.006302384,-0.006302384,,,,
782.7599994,3057,-0.006228559,-0.006228559,-4.130867001,-0.006228559,-67.6247954,-0.006228559,-55.6659827,-0.006228559,-0.006228559,143.144285,52.35844874,-0.006228559,-38.91034521,-0.006228559,-0.006228559,-0.006228559,,,,
782.7679994,3057,-0.006154861,-0.006154861,-53.70928348,-0.006154861,-29.31396956,-0.006154861,38.19718081,-0.006154861,-0.006154861,-86.82799476,-44.75098076,-0.006154861,-419.8281635,-0.006154861,-0.006154861,-0.006154861,,,,
782.7759994,3057,-0.006081289,-0.006081289,59.5869561,-0.006081289,-76.09401036,-0.006081289,-43.48484954,-0.006081289,-0.006081289,68.48150753,39.51323753,-0.006081289,-198.989265,-0.006081289,-0.006081289,-0.006081289,,,,
782.7839994,3057,-0.006007847,-0.006007847,-46.37844953,-0.006007847,-52.44855317,-0.006007847,9.257652311,-0.006007847,-0.006007847,23.88151348,-6.831388755,-0.006007847,-207.8083495,-0.006007847,-0.006007847,-0.006007847,,,,
782.7919994,3057,-0.005934534,-0.005934534,39.02197757,-0.005934534,-81.07687105,-0.005934534,27.08904494,-0.005934534,-0.005934534,-49.35529582,-60.61312501,-0.005934534,-395.638489,-0.005934534,-0.005934534,-0.005934534,,,,
782.7999994,3057,-0.005861353,-0.005861353,20.99410884,-0.005861353,-98.42845308,-0.005861353,-47.75318516,-0.005861353,-0.005861353,162.9675741,11.66491048,-0.005861353,2.618985694,-0.005861353,-0.005861353,-0.005861353,,,,
782.8079994,3057,-0.005788305,-0.005788305,-72.63775706,-0.005788305,-28.15966002,-0.005788305,53.57085663,-0.005788305,-0.005788305,-69.90114872,-89.32491469,-0.005788305,-353.650048,-0.005788305,-0.005788305,-0.005788305,,,,
