Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id,Event Date,Event Duration
0.192,0,-12.83471772,-51.01798848,1E-10,-44.99366329,1E-10,-60.14313186,-15.2130908,96.64756948,-23.05411542,1E-10,145.0550998,1E-10,-50.79225282,-82.41099918,10.80973832,-35.77143115,,,
0.2,0,10.04481438,-29.66160227,1E-10,-30.27508143,1E-10,-44.8057217,-0.260872454,-26.99046307,-0.115194597,1E-10,-43.98519464,1E-10,-14.84093168,-55.53492879,-38.51161692,-43.07494765,,,
0.208,0,-18.64556401,-41.25070096,0,-8.181597352,0,-55.44440817,35.96568915,92.98382755,9.404027389,0,62.81476707,0,-24.46873599,-59.20987342,34.0392138,-11.00122381,,,
0.216,0,12.26786856,-33.62060517,1E-10,-37.83732643,1E-10,-52.92334898,-12.68144998,32.87297846,-8.765140441,1E-10,82.31563606,1E-10,-24.99173287,-61.78333485,-9.022528757,-29.49292851,,,
0.224,0,4.286189652,-46.00427326,0,-18.91132173,0,-47.4168969,19.78631358,22.80567293,10.41377089,0,-37.58261291,0,-16.48248553,-50.07913186,-5.425845998,-23.34258575,,,
0.232,0,-14.22210566,-40.84350076,1E-10,-25.42529125,1E-10,-47.91548529,7.567355324,83.7769184,-7.571263572,1E-10,141.0180503,1E-10,-39.99895361,-70.10351103,27.49642212,-16.55871619,,,
0.24,0,-0.294989287,-48.58627537,1E-10,-21.70174525,1E-10,-31.74194191,5.005020918,-29.53884793,7.215253029,1E-10,-41.67147576,1E-10,-2.204619486,-42.76287521,-23.00601703,-22.88920867,,,
0.248,0,-29.11626718,-67.54479679,0,-19.36985377,0,-50.31943873,23.92475457,83.14813411,-1.695108307,0,51.73338494,0,-24.2013236,-59.97487111,32.24753877,-5.995445009,,,
0.256,0,-36.00616422,-57.87743944,1E-10,-55.87076875,1E-10,-64.62091005,-34.64433521,12.86056371,-25.69382445,1E-10,54.3957079,1E-10,-38.08300583,-72.82912767,-20.44497761,-37.07522875,,,
0.264,0,-54.35899933,-83.19381706,0,-32.59537858,0,-61.68306782,-3.945274165,15.19918294,-19.52863357,0,-45.31719195,0,-35.25430635,-67.17172522,-25.91380037,-43.17660128,,,
0.272,0,-29.79975443,-58.05438109,1E-10,-36.99030011,1E-10,-56.58368223,-10.43754092,81.94004163,-34.9013289,1E-10,161.1112647,1E-10,-49.83732078,-79.76388357,8.681746301,-32.0928086,,,
0.28,0,-2.449067322,-44.68399958,1E-10,-30.29950258,1E-10,-46.78017758,-14.00009882,-29.53879635,-6.851910084,1E-10,-28.11708824,1E-10,-9.265012535,-40.65550218,-36.29091461,-32.65140202,,,
0.288,0,-39.77099301,-63.37257429,1E-10,-25.47008015,1E-10,-65.33400354,-2.322768243,99.00134884,-20.71391712,1E-10,68.76973305,1E-10,-38.47515293,-57.64346941,13.04166522,-22.79417459,,,
0.296,0,-26.85375974,-40.8236222,1E-10,-55.62341038,1E-10,-63.79353344,-50.10429698,23.75861567,-34.86101132,1E-10,69.01314458,1E-10,-45.35922098,-65.23680818,-38.5474665,-50.44361508,,,
0.304,0,-21.75891402,-55.32911997,0,-11.37217887,0,-41.44338285,7.288133486,15.23257301,-1.71706533,0,-66.13004541,0,-19.71810777,-39.77220454,-23.6820426,-35.8634107,,,
0.312,0,-17.27139928,-41.85027809,1E-10,-19.1915928,1E-10,-45.77203512,-5.854058807,85.62020877,-15.07501885,1E-10,117.8632091,1E-10,-31.66290593,-52.20126061,18.10176035,-21.10516159,,,
0.32,0,-13.59134494,-40.04343753,0,-37.74488789,0,-48.94382869,-28.20451762,-32.48902089,-4.352751668,0,-60.42127496,0,-12.70181277,-43.7819102,-45.22830784,-48.46457103,,,
0.328,0,-22.18699642,-56.18585256,0,-21.10355809,0,-45.98603636,2.98839116,74.21620226,-8.664801093,0,41.45270805,0,-27.56169925,-54.80974456,8.097744131,-32.35184682,,,
0.336,0,1.417185792,-27.95614648,0,-43.41166835,0,-45.76315551,-35.11451101,-10.16549764,-10.53167895,0,41.4258534,0,-16.15235669,-48.4418066,-27.53409254,-37.74090483,,,
0.344,0,-31.61189721,-43.24124326,0,-25.46755024,0,-45.70697072,0.130026344,-2.162110097,1.867823202,0,-72.87596057,0,-19.02839222,-48.78431986,-22.71973582,-37.15456278,,,
0.352,0,-23.4899607,-45.0765803,0,-33.80679034,0,-44.23521242,-14.75906016,77.63599787,-24.04573176,0,123.2921085,0,-42.51957285,-65.91965586,10.56151175,-28.78131474,,,
0.36,0,2.400020425,-52.69314309,0,-37.77699597,0,-47.61725611,-24.16151084,-38.36003403,-2.299816484,0,-53.3914874,0,-8.515973952,-45.65182756,-43.58258528,-42.93472257,,,
0.368,0,-26.7196877,-53.32836695,0,-19.85645558,0,-48.27466171,13.11805279,74.93595599,-1.020202266,0,52.03912386,0,-22.03628078,-53.62417601,18.10182935,-21.41787343,,,
0.376,0,-7.15102601,-26.25009429,0,-31.97789255,0,-35.94085364,-14.07198231,-1.12248546,-0.346686141,0,51.30848883,0,-8.484498732,-35.03191326,-6.95484824,-19.83757047,,,
0.384,0,-28.51826709,-60.5058384,0,-17.27646756,0,-47.66272315,12.57300356,19.99294457,9.681896439,0,-42.84297627,0,-11.80490232,-43.25323228,-2.649088895,-23.66054782,,,
0.392,0,-13.31120338,-40.13186086,0,-30.84942766,0,-42.17622801,-9.313347396,93.20867866,-20.21522469,0,169.6902227,0,-37.42716508,-69.13550304,14.72105737,-27.01439409,,,
0.4,0,16.00330254,-18.27087697,0,-10.95649556,0,-16.89859303,0.596976022,-63.49391506,19.99958632,0,-103.9181803,0,14.97757199,-17.39604935,-43.6876977,-28.239531,,,
0.408,0,-34.60866817,-34.07602481,0,8.969222333,0,-34.10135672,27.94693915,86.72673544,9.025793509,0,7.841103817,0,-15.03641458,-37.49085097,32.10843181,-5.2986496,,,
0.416,0,12.83366699,-4.697835083,0,-23.7218633,0,-30.40653895,-27.97149973,43.11339012,-16.16964052,0,146.3503956,0,-22.45821145,-47.38078687,3.445175185,-17.34215417,,,
0.424,0,10.24112907,-30.58287199,0,2.405333565,0,-20.13087069,24.52292795,-50.16844033,31.58652252,0,-177.2846441,0,16.43299435,-12.45563271,-31.92525268,-20.75038855,,,
0.432,0,-52.93042105,-45.12444187,0,-18.17474126,0,-47.51589953,13.33546673,123.592969,-17.62431078,0,69.20695214,0,-42.46355964,-54.12356128,29.06765595,-17.38909795,,,
0.44,0,-15.95034862,-20.61727183,0,-50.25130209,0,-44.85269285,-48.98439889,21.76367051,-34.29954455,0,91.24936835,0,-36.22236194,-50.61172313,-27.80825152,-37.19042467,,,
0.448,0,-27.53982706,-49.38286584,0,-12.23125836,0,-28.99873653,1.366614346,1.605758996,4.728162426,0,-113.926484,0,-7.942238984,-30.60142817,-26.14425553,-29.58839107,,,
0.456,0,-28.39423638,-38.32781948,0,-25.18847247,0,-34.17801878,-17.76769032,88.57540817,-20.88618412,0,102.7579606,0,-32.11728092,-46.1823927,11.90773374,-21.04817725,,,
0.464,0,-1.30224637,-13.11165588,0,-30.072781,0,-27.09768706,-28.6128666,-28.00983031,-0.056324883,0,-12.21533033,0,-6.757885336,-20.88564251,-31.45575553,-29.91360052,,,
0.472,0,-36.78283921,-49.44462922,0,-4.836737881,0,-24.16258496,12.21656461,36.77529507,3.249148705,0,-37.83036157,0,-17.30004165,-22.95087034,1.90875802,-17.18954482,,,
0.48,0,-21.64398036,-40.38436339,0,-26.39631694,0,-27.09869088,-21.78258053,46.36247665,-23.82556423,0,93.62494152,0,-29.08161227,-34.4911901,1.848480481,-15.92749505,,,
0.488,0,3.846214245,-7.703872462,0,-20.46858656,0,-11.16073003,-20.99216663,-102.835676,13.84168053,0,-160.4419371,0,15.23265306,-5.008905286,-61.71378147,-32.17534251,,,
0.496,0,-11.42979542,-21.46190815,0,1.299107182,0,-11.32733057,8.623983469,9.649069535,14.1293325,0,-64.87407029,0,0.768389869,-13.06562296,-5.275427957,-12.53674691,,,
0.504,0,-34.74286044,-50.57248637,0,-18.82185274,0,-32.22807594,-4.887434872,82.33561058,-9.045818479,0,102.5000553,0,-14.78398167,-30.85208237,33.07901903,-3.816637769,,,
0.512,1,-39.94249429,-46.21717775,0,-32.06890117,0,-33.64566178,-23.70093137,-9.257559439,-9.681838451,0,-23.36319512,0,-4.634965078,-30.49475026,-21.28156858,-32.22339483,,,
0.52,1,-24.56498609,-17.73966651,0,-22.81865658,0,-30.06374086,-15.39987196,14.72462478,-12.32804065,0,-0.078144094,0,-28.97789636,-38.55769436,-18.38633642,-31.87838888,,,
0.528,1,-27.81454682,-32.14099083,0,-25.29617664,0,-33.79729225,-9.02557648,61.71113058,-15.47426028,0,61.4963438,0,-40.07011086,-36.30637168,6.850403275,-17.97219311,,,
0.536,1,-18.52418058,-31.91135943,0,-25.50447654,0,-20.3461816,-28.81039329,-7.36347952,-15.30886354,0,-11.25926419,0,-18.32911102,-18.6009774,-28.7845266,-24.05597975,,,
0.544,1,-38.23004323,-16.17517601,0,-11.54979599,0,-24.34448831,-2.375002478,38.9396151,-10.88458267,0,-1.170843221,0,-21.63944257,-19.95738622,1.844103801,-14.47560424,,,
0.552,1,-35.83938517,-25.38675048,0,-31.11982671,0,-34.79000334,-13.59590499,57.67926493,-24.35972721,0,89.28468044,0,-26.31738768,-31.94113704,10.61740237,-18.09679646,,,
0.56,1,-13.13975623,-34.04755235,0,-21.07030041,0,-19.50484318,-15.59624255,-27.68043408,-5.122635149,0,-19.72480451,0,-2.082081375,-16.45850886,-24.79326432,-23.12686329,,,
0.568,1,-33.98948986,-21.12745777,0,-12.43077207,0,-22.30121516,6.51490357,56.38147121,-3.417904937,0,59.30220933,0,-23.16566883,-27.16852916,19.28431041,-8.935318132,,,
