Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Aux1,Aux2,Aux3,Event Id
346.2079998,1352,225.5660317,52.39359353,51.90053878,-23.65282574,2.496463613,-10.64205517,-134.7626177,328.349434,295.2165574,-2.219867492,-30.04338924,156.1711117,0,156.3035899,590.802434,0,0.007245545,-0.00355882,-0.005884092,1111
346.2159998,1352,-24.91428328,42.09861503,-39.74707925,35.86224168,19.22539247,63.81657816,-435.9311873,-11.93229048,-189.2528228,-19.88728205,53.21339966,-110.998377,0,-136.5933995,-64.11473405,0,0.00820362,-0.003046939,-0.006111908,
346.2239998,1352,37.73828583,16.87570366,76.48135108,-3.609323165,35.37466523,-59.61827895,103.4507592,572.3645908,106.2091031,11.94205309,-12.95419506,61.56063948,0,40.49897703,137.9454587,0,0.004949201,-0.000809522,-0.006043828,
346.2319998,1352,182.1521067,75.71524212,-16.63651253,3.76223749,-14.92424086,49.94399228,-467.9676033,-31.52382973,104.0112828,-17.77242438,13.6627345,53.23327105,0,30.54187465,489.8526821,0,0.000842407,0.003419348,-0.006116814,
346.2399998,1352,-109.763181,8.093604486,18.68429446,26.5953088,58.62471216,-1.825328755,-75.64564584,374.0617813,-189.9350601,10.33855737,46.70530326,-103.2931751,0,-125.4813429,-271.3697907,0,0.001561599,0.002983752,-0.006193174,
346.2479998,1352,227.9869373,61.33421515,54.30104567,-28.58235354,0.972746589,-23.54806873,-127.2390533,327.4678012,295.8281495,-7.689453971,-32.63730005,152.6808761,0,143.6028722,612.1773643,0,0.00225545,0.001643046,-0.006172307,
346.2559998,1352,-19.40354658,53.42198547,-36.46779309,44.5262706,29.62052304,76.16307091,-443.609683,-11.27326439,-180.4368049,-10.12595817,63.30814035,-101.8631077,0,-118.6442435,-53.35141886,0,0.001405585,0.002943486,-0.006277768,
346.2639998,1352,36.23231573,13.32201966,80.5773643,-7.124984932,48.92076551,-52.50861389,104.719718,579.00389,112.6890041,20.79783312,3.22058632,68.05931512,0,56.72272442,107.1497525,0,0.001954554,0.001156328,-0.007135675,
346.2719998,1352,188.8787588,71.72859142,-18.4151373,-5.435953339,-16.82330427,39.67941244,-466.5942585,-43.11968865,118.3261225,-29.82736125,11.86524037,54.10742797,0,27.31940158,478.5914619,0,0.00188084,-0.000161515,-0.008585732,
346.2799998,1352,-105.3030725,9.68711851,15.7441509,32.62499683,56.60331772,1.132987252,-85.54756279,351.4305172,-187.7493887,1.028925663,48.46887248,-99.72673236,0,-130.9071427,-285.200343,0,0.001675796,0.000266378,-0.008449263,
346.2879998,1352,228.2396137,58.6295107,56.43319737,-25.36109651,-2.712924042,-20.88687865,-120.5687167,329.3040443,301.6316081,-6.326566106,-19.44860488,163.9576402,0,147.1068837,589.541858,0,0.002034011,2.47E-05,-0.008094971,
346.2959998,1352,-15.11232147,49.45153753,-41.54337914,38.79235106,16.4597177,63.20065993,-440.2728896,-20.16570982,-166.7538837,-14.32799407,67.51838463,-97.15597367,0,-121.57462,-60.92563952,0,0.001753442,4.29E-05,-0.008534832,
346.3039998,1352,34.40828852,10.13796449,73.9575705,-10.66485923,39.69242597,-69.35180342,110.6215289,567.6002414,113.105353,12.5872186,-3.861768623,63.06020653,0,49.19313578,102.0157179,0,0.00279523,-0.001778514,-0.00570689,
346.3119998,1352,185.4481362,70.93785944,-18.88836071,-9.699313057,-27.92935476,32.72887295,-460.3118786,-46.80690687,118.784749,-41.80508095,-0.953212047,46.99959877,0,33.73404521,510.4521443,0,0.004178147,-0.004596728,-0.001604477,
346.3199998,1352,-110.7882787,15.3317471,15.08354727,34.61697556,46.13251774,-0.507719895,-94.35991512,341.7165268,-191.0789121,-3.384265465,47.97972393,-111.7127947,0,-114.7090856,-262.8335673,0,0.003933995,-0.004292738,-0.002258285,
346.3279998,1352,228.3168329,65.85109285,57.63248535,-17.78618766,-6.477431333,-23.94315258,-123.7527626,324.4591648,295.6151934,-5.125125393,-15.85522761,158.9196209,0,167.4108541,591.9565492,0,0.003691439,-0.003611792,-0.003247647,
346.3359998,1352,-11.3060145,54.110745,-39.96501613,44.6797058,7.154585714,73.98006739,-449.1567422,-35.18729826,-179.7383004,-24.87817941,63.76293564,-101.4478381,0,-111.4587173,-43.42482098,0,0.003975141,-0.00439972,-0.002265345,
346.3439998,1352,28.20487865,19.02383077,76.26785626,-0.44472991,37.16947377,-54.91833265,103.6914858,560.2788415,97.45496331,7.317400304,5.90661635,58.53115544,0,60.08473148,95.17757834,0,0.002927449,-0.001362051,-0.003870677,
346.3519998,1352,181.2389089,82.12859986,-15.8752459,1.967178142,-14.74944151,42.7500141,-456.6945874,-47.76470311,117.5817697,-36.86755744,14.99500735,55.08858037,0,57.15297345,486.7117794,0,0.00155013,0.002733433,-0.005225184,
346.3599998,1352,-121.9774252,10.03466769,15.32758189,38.34739652,62.07157206,20.05618173,-86.09222332,333.061732,-200.186203,-8.466625971,52.09721404,-109.7415236,0,-108.7744677,-299.5558579,0,0.001802356,0.001976444,-0.004873301,
346.3679998,1353,209.4605313,51.31490214,60.02614948,-25.30249597,6.898511594,-23.01033596,-104.1599841,324.4190908,289.453094,-19.70241544,-19.03542447,154.4832186,0,161.1719827,567.8657317,0,0.002047126,0.001150746,-0.004993488,
346.3759998,1353,-19.0040685,57.30016855,-34.9168776,38.91920929,20.34906479,56.0715568,-441.6516305,-43.01125918,-181.2375039,-38.83937387,64.3591884,-102.5932414,0,-116.5568842,-45.80627219,0,0.001759409,0.002010475,-0.005093431,
346.3839998,1353,32.01529164,31.54675189,81.59437923,5.68890991,55.24470655,-46.95080407,104.4155865,563.3357331,95.1292609,-0.237346258,14.23360412,62.86474732,0,54.74752869,76.46277736,0,0.002822713,-0.000374942,-0.005979606,
346.3919998,1353,195.2986649,83.6482333,-13.54124793,4.689384972,-1.901703406,49.60657643,-460.4046577,-34.21017687,131.0897033,-40.01953428,25.74695213,73.66676683,0,58.91941633,471.315229,0,0.004185389,-0.003121695,-0.007436002,
346.3999998,1353,-109.2907383,12.20764214,13.64524625,33.949784,57.30908913,2.302518603,-100.3909533,335.9851974,-202.0089282,-20.02547947,55.82463388,-92.20385263,0,-114.6950053,-315.0746138,0,0.003948602,-0.002614505,-0.007326552,
346.4079998,1353,224.1034319,64.72525825,61.15000573,-23.18883291,2.136935893,-23.59957396,-111.3391651,329.8762659,284.7340345,-29.63275738,-16.15724945,170.8930873,0,157.2383738,549.3240895,0,0.003694651,-0.002296604,-0.006991789,
346.4159998,1353,-12.26278983,56.24289382,-35.08996936,39.95091561,26.33549837,70.10992536,-445.8860471,-52.28245423,-173.2861434,-35.61333727,73.19616521,-82.62862183,0,-104.3524649,-73.05192941,0,0.003986355,-0.002816528,-0.007436811,
346.4239998,1353,13.98617184,8.443112535,75.11916085,-11.67948128,50.71602128,-56.88810286,115.3065732,547.4152586,90.07500237,-7.881188766,4.833989875,68.63617788,0,56.65503446,52.37334839,0,0.005502025,-0.00597045,-0.007225682,
