Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Channel 17,Channel 18,Channel 19,Event Id
346.2559998,1352,0,-43.94985545,0,-39.73060599,33.99578395,22.04079569,0,11.05484671,-20.6367115,14.71006495,451.9461077,0,1.700782598,-2.414420309,0,0,-0.004970732,-0.000579938,-0.002600691,1111
346.2639998,1352,0,-147.1401886,0,-42.84841582,-1.761503487,-60.62980811,0,-33.08339453,-20.65661662,102.6767433,185.3231327,0,-110.419619,-42.62804717,0,0,-0.000834922,-0.0019969,-0.005490443,
346.2719998,1352,0,80.21153741,0,16.1433388,-53.12228472,-71.7593853,0,-72.64604315,-20.67592429,-14.8348517,531.5506925,0,57.16877811,-13.75825875,0,0,-0.001506957,-0.001842102,-0.005191507,
346.2799998,1352,0,-184.3938933,0,-77.4200501,54.79923909,18.03242859,0,22.13198217,-20.69463632,85.10738549,221.9366935,0,-96.99850924,-13.44743804,0,0,-0.002303959,-0.001512021,-0.004801844,
346.2879998,1352,0,5.955663766,0,12.68792365,-84.43075757,-127.5830872,0,-118.0657925,-20.71275451,27.6656026,357.8104789,0,-7.788090383,-41.41865473,0,0,-0.001381093,-0.00192166,-0.00554868,
346.2959998,1352,0,-60.23580081,0,-60.98315762,40.80637779,31.74379946,0,2.043330114,-20.73028068,16.90952095,411.5252574,0,0.363397577,-11.15189568,0,0,-0.002847034,-0.004257559,-0.006157749,
346.3039998,1352,0,-165.2648808,0,-57.52275447,-7.765608129,-56.24569097,0,-43.63084338,-20.74721667,116.7505959,156.3768167,0,-106.4575459,-54.97471829,0,0,-0.004168759,-0.008501251,-0.007719316,
346.3119998,1352,0,52.41994203,0,0.235205987,-54.2832683,-66.40923083,0,-82.96562568,-20.76356431,-8.124506564,513.911111,0,61.93586057,-21.10414519,0,0,-0.003771163,-0.008045891,-0.007831081,
346.3199998,1352,0,-216.6389044,0,-104.1917735,78.1797758,35.32833638,0,25.63590825,-20.77932544,89.55242552,205.9259076,0,-91.6113145,-19.06323395,0,0,-0.003797767,-0.006779092,-0.007314033,
346.3279998,1352,0,-13.49184453,0,-7.568034195,-69.40251925,-114.372042,0,-107.4810553,-20.79450191,46.87634898,350.3511953,0,3.582289976,-43.39033673,0,0,-0.003877915,-0.008060239,-0.0080325,
346.3359998,1352,0,-63.64789281,0,-59.21134681,23.81249576,24.18173764,0,-7.18921238,-20.80909558,22.76383941,414.4336485,0,12.67931868,-0.581163209,0,0,-0.005539157,-0.004588768,-0.006893238,
346.3439998,1352,0,-147.7572843,0,-42.71442022,-24.72891342,-58.95017642,0,-68.73517925,-20.82310833,96.1588885,177.9834012,0,-86.52460052,-31.1567266,0,0,-0.008343305,-0.000516518,-0.005658848,
346.3519998,1352,0,68.49784499,0,-0.079366349,-51.51071989,-46.30587091,0,-88.3103084,-20.83654202,6.469746439,539.3227479,0,78.12227589,-9.979344537,0,0,-0.007997622,-0.001306016,-0.006083306,
346.3599998,1352,0,-197.1590427,0,-93.09920915,51.21107688,23.74259134,0,10.2294798,-20.84939853,110.8147085,236.8032511,0,-80.96020069,-17.58765569,0,0,-0.007221256,-0.001863929,-0.006307391,
346.3679998,1353,0,11.04708534,0,18.27164162,-95.74038302,-132.5875995,0,-129.9082567,-20.86167976,12.00485395,388.7378539,0,18.03385638,-32.91617977,0,0,-0.008004294,-0.001121864,-0.006236483,
346.3759998,1353,0,-59.35839299,0,-58.83961639,45.21349989,44.01161026,0,6.242681077,-20.8733876,12.93761264,432.8191511,0,13.94122109,-7.705461328,0,0,-0.007457233,-0.00159546,-0.006462652,
346.3839998,1353,0,-150.8929859,0,-43.86650078,-17.82598058,-57.27769475,0,-55.913316,-20.88452395,114.6986792,188.8957591,0,-88.89492664,-49.38947124,0,0,-0.008361335,-0.002388818,-0.004843026,
346.3919998,1353,0,64.22822548,0,14.47001001,-69.08653812,-58.62400201,0,-95.29042033,-20.89509073,-19.15450996,543.5158971,0,85.19190798,-8.516818171,0,0,-0.009913025,-0.003593467,-0.00211581,
