Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id,,,
511.7439996,1999,-119.4195017,-145.7493686,-135.8956848,-51.83618493,510.6037455,15.25027494,417.5473669,145.4830104,0,0,0,0,0,-410.35743,292.1834128,-575.2856198,1111,,,
511.7519996,1999,241.0326861,225.3315847,100.3358466,84.6462375,-465.7107973,29.2575343,-386.6965013,-370.7750338,0,0,0,0,0,522.9134459,-76.64753043,616.7586315,,,,
511.7599996,1999,-36.31815271,-151.5992342,34.59919429,-82.78829656,479.7490043,-424.897239,198.9288542,-268.4107781,0,0,0,0,0,-281.2537089,-204.7365644,-694.5343329,,,,
511.7679996,1999,28.56099107,74.92347799,-102.9600248,37.19709077,-76.37857682,314.3662678,48.60684182,69.91749811,0,0,0,0,0,115.8394289,374.1081899,246.655088,,,,
511.7759996,1999,215.7930528,116.9955909,228.3555707,60.64210059,-151.3643493,-404.9159457,-277.0374825,-539.1512967,0,0,0,0,0,269.6223493,-415.8368004,51.69974193,,,,
511.7839996,1999,-148.5369211,-152.4023915,-123.6976638,-37.89894575,510.7223564,29.24827532,435.5680115,165.3677305,0,0,0,0,0,-387.3578475,300.3182829,-588.1130314,,,,
511.7919996,1999,227.4004925,230.0367589,111.7362402,105.9068473,-469.0119595,50.10920918,-358.8241435,-346.4000598,0,0,0,0,0,530.7249664,-59.70538569,624.7516884,,,,
511.7999996,1999,-22.18675449,-129.6015179,73.66630201,-34.32411739,477.3576486,-410.6766647,224.9757074,-244.5003628,0,0,0,0,0,-273.1676367,-199.569555,-692.7126381,,,,
511.8079996,1999,20.41586323,67.88132469,-99.18090319,50.5311497,-53.63658158,320.1062472,73.71257106,82.51752908,0,0,0,0,0,115.2667886,384.650987,224.4820159,,,,
511.8159996,1999,221.4088885,114.9273921,222.7391229,60.36672349,-142.1630374,-404.0592832,-274.9790849,-553.9164258,0,0,0,0,0,272.5194949,-411.6252776,55.46737637,,,,
511.8239996,1999,-143.5762687,-156.8901447,-120.1426883,-38.77868716,533.0428528,25.24632897,433.6490792,148.151887,0,0,0,0,0,-393.0856203,297.4827911,-600.7006931,,,,
511.8319996,1999,211.5562034,209.0492609,91.26346588,79.6818344,-450.2892816,51.03876366,-365.2075675,-358.2721995,0,0,0,0,0,518.2530165,-51.44223882,627.660789,,,,
511.8399996,1999,-4.772268182,-116.2003791,76.81228282,-36.41518003,466.5149265,-422.6947736,215.6371097,-257.3797776,0,0,0,0,0,-291.1563028,-201.5733286,-674.3473089,,,,
511.8479996,1999,30.25284765,76.86823431,-93.35270339,58.13262746,-58.82048571,324.2909228,74.44914969,83.17864643,0,0,0,0,0,107.9949873,391.5854514,222.8173606,,,,
511.8559996,1999,199.2000604,88.42589563,189.620632,30.00137556,-158.231788,-393.3238096,-293.5219414,-568.0185162,0,0,0,0,0,289.4896473,-408.6140416,74.66415708,,,,
