Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id
554.7839996,2167,26.32181953,18.080829,36.19507732,-106.7091865,68.02487858,-311.5341183,-23.82741393,-545.3541783,0,-5.492251025,2267.75389,0,0,-900.1045,59.07365382,-125.4102533,1111
554.7919996,2167,-53.67269799,3.335157862,-47.06167621,117.2478451,3.161453834,380.2711263,123.3507131,874.3359723,0,52.79897015,1732.521713,0,0,-1478.535246,131.5188007,8.913836792,
554.7999996,2167,88.80691277,25.36006875,72.69204697,-51.20205454,20.21542711,-79.69073366,-166.0676251,-208.831098,0,94.78983075,2041.007983,0,0,-26.14748365,29.07950572,264.7107912,
554.8079996,2167,-25.77911353,18.90037074,-12.51299511,0.024489741,29.6506939,-49.2855461,147.9443536,96.18155256,0,-21.44564523,2090.4841,0,0,-1718.909531,119.2027773,-292.4824915,
554.8159996,2167,51.76511824,29.46024958,39.51973248,106.5959427,-19.42775526,362.5894091,-49.52496739,665.2279665,0,151.5066934,1710.938624,0,0,-419.9850764,77.32890074,350.4040411,
554.8239996,2167,31.46375768,15.50024975,41.93507861,-114.348936,51.98142981,-323.6644898,-41.80381295,-574.1149112,0,4.537953656,2256.340172,0,0,-813.1437306,40.07389185,-128.0636424,
554.8319996,2167,-58.06570366,-15.83617987,-54.18612428,103.1305836,1.31789674,394.658493,123.6057033,887.6746123,0,39.71536935,1763.06429,0,0,-1422.733799,135.8511206,2.31590962,
554.8399996,2167,76.53940165,15.18752221,64.13976472,-54.37274622,23.43203127,-30.40829806,-160.6048683,-142.4033151,0,88.07734172,2077.058272,0,0,108.650903,46.64017079,295.4354797,
554.8479996,2167,-33.49056595,26.69002664,-16.10367296,-13.07075608,20.40944026,-61.11068361,140.9852421,64.26766928,0,-26.28777628,2129.37506,0,0,-1592.143299,121.6033949,-292.6577644,
554.8559996,2167,40.56762122,19.78186711,20.53879677,95.79622563,-32.74729587,372.2063977,-54.17157807,697.4076716,0,143.6357013,1723.15534,0,0,-347.5618952,75.11322886,336.3209688,
