Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id,,,
474.6959997,1854,494.9339916,-1.30E-08,107.3769939,-87.57777514,50.46176785,-64.53424856,255.9413844,-88.22415833,37.20675101,-84.29790471,79.21867813,0,-23.63609019,-20.58522461,325.2316248,3.291184402,1111,,,
474.7039997,1854,-210.8823583,-1.30E-08,-129.7375185,-45.81824677,-72.7354799,-21.53034435,129.3404146,28.63806158,-48.03088369,-87.34120657,176.1118787,0,-72.25985812,-5.29758497,394.2107572,-29.53560446,,,,
474.7119997,1854,-122.4732235,-1.29E-08,84.33038999,-46.46619553,15.93784406,-33.00819534,193.985421,-29.60457893,-47.14871304,-25.16132425,-459.1382055,0,-19.32433007,78.35138757,39.75878643,-28.75855742,,,,
474.7199997,1854,439.2770429,-1.29E-08,-13.13286333,-70.56329637,-10.10249723,-48.55721713,144.3476499,-34.44175816,29.42697897,-94.88647652,468.9384819,0,-53.28544519,-2.533438357,506.6460912,2.407342678,,,,
474.7279997,1854,-567.5735952,-1.29E-08,-52.86678321,-26.28819294,-56.61234687,-2.267093552,60.87625898,39.81845198,-80.41606438,-17.86068549,-363.305425,0,-35.90490357,117.1441826,59.18816255,-46.53181353,,,,
474.7359997,1854,501.2187773,-1.29E-08,125.8866911,-86.05150244,47.24022081,-72.4245323,129.3948347,-80.7437055,41.51260278,-67.29557674,78.64288442,0,-20.31208946,80.81755081,256.8503241,-3.716997278,,,,
474.7439997,1854,-203.2909242,-1.28E-08,-107.4421976,-42.43493866,-64.51865298,-18.5132414,-16.34778436,36.99563467,-35.17552047,-64.63783396,192.9400795,0,-77.54740756,109.1237297,308.3247052,-40.91576311,,,,
474.7519997,1854,-118.4122787,-1.28E-08,100.0931063,-43.70149121,26.67907146,-36.25110407,33.10630758,-18.94759612,-28.15218393,-7.733519269,-439.1602246,0,-14.65522876,181.3950484,-56.97398467,-38.70209637,,,,
474.7599997,1854,444.7344695,-1.28E-08,-8.728932216,-74.76794401,-1.681783131,-62.58667717,-14.50175137,-36.02256059,43.01094056,-85.78582502,479.0455336,0,-58.35438688,51.15698172,401.939727,-15.63374182,,,,
474.7679997,1854,-552.3484351,-1.27E-08,-62.69334175,-35.43506025,-46.73333716,-11.17027614,-74.52853005,33.62339371,-89.6143854,-26.62832248,-352.6679483,0,-59.37906638,140.7693842,-28.3808237,-56.76739487,,,,
474.7759997,1854,510.416788,-1.27E-08,121.6745345,-76.82058169,63.18352083,-72.94472155,19.31383412,-60.09862334,30.4216957,-70.42819134,82.74995599,0,-25.18507227,110.439153,179.826074,-4.293158955,,,,
474.7839997,1854,-191.4223622,-1.27E-08,-95.9719146,-21.79295552,-50.05264829,-17.79608898,-84.63840662,57.2343195,-28.39995905,-47.6964373,193.6963054,0,-65.83341981,115.7967121,223.8713221,-49.85288456,,,,
474.7919997,1854,-89.7122359,-1.26E-08,110.2428994,-35.10212109,35.87527482,-37.30505165,8.141417824,-23.49677822,-27.01570511,-0.713933355,-429.769482,0,-20.29982179,143.836982,-126.7225626,-43.77232674,,,,
474.7999997,1854,472.6137311,-1.26E-08,4.181528277,-59.57191874,8.587547091,-60.9224424,-30.52964786,-29.60742371,41.88043851,-83.23368142,491.311055,0,-50.67206724,6.602500651,348.8786228,-10.35268796,,,,
