Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id
411.6399997,1607,-82.27358769,-106.6804104,-82.25004077,-92.75000127,302.5242826,-407.2193347,81.07675347,83.1517216,66.00164434,7.363522954,0,-75.92905238,118.9577462,-469.5507054,-189.2446549,-1380.459072,1111
411.6479997,1608,-39.77926036,50.75013487,-58.3089459,-29.45641201,96.01943334,510.7581601,-76.37028359,210.182156,-22.54516918,-100.1530294,0,-82.97845878,59.41374891,13.28926126,393.9173388,-704.4140351,
411.6559997,1608,155.3005544,171.4947304,141.8404475,96.33811776,-324.5807693,-192.7394599,37.81928781,-231.8449701,-40.72884383,78.45302004,0,164.5813542,-174.2685946,393.2121938,-495.9334732,304.8433423,
411.6639997,1608,-74.80529723,-75.19107288,-86.90719294,-81.75567491,282.3731976,-179.0266571,59.43879315,143.9597731,58.78851709,-16.44471773,0,-88.5622246,115.2342347,-371.0757573,-24.41504009,-1342.02859,
411.6719997,1608,61.83994997,142.5564591,37.84804214,34.23551152,-160.3578891,407.8972995,-90.957916,-6.131157109,-49.91351717,-45.16481863,0,38.63640377,-79.83659144,330.2307314,96.79648035,-39.45690474,
411.6799997,1608,70.70008153,50.81600152,66.9748016,25.34726686,-55.37896823,-399.8811032,75.10532703,-130.9043263,18.35609096,73.4927931,0,74.80291771,-50.16142172,-20.35062167,-473.6318525,-460.1020468,
411.6879997,1608,-48.28566621,-3.505683874,-69.70329355,-51.71953254,175.9423948,220.6091742,-26.98370256,185.050023,25.4488055,-67.82539005,0,-87.72655503,92.96212541,-172.3947013,223.2110636,-1001.989698,
411.6959997,1608,110.3402857,144.8523005,88.39569823,59.28608696,-260.0058476,54.04240622,-35.85220847,-137.5824693,-39.88302613,18.03981015,0,105.4972825,-133.762617,358.5064751,-245.4143499,166.1147301,
411.7039997,1608,-41.7860754,-64.17893514,-50.76568815,-67.04130411,177.7450286,-290.9948227,45.32748468,42.2061977,40.66658337,5.784513938,0,-47.02556983,64.84345434,-280.643048,-201.1345752,-1053.972858,
411.7119997,1608,26.97088838,93.46772612,-0.127594366,5.869648161,-63.64205994,378.1016579,-90.81971677,57.75052469,-40.35348395,-73.02419916,0,-23.31973274,-22.84321751,168.1567241,159.2490964,-303.3700712,
411.7199997,1608,76.26967435,67.08820877,63.91318896,34.62885992,-118.0107269,-288.5688993,36.10972301,-131.174495,2.738862078,70.26292476,0,82.10209978,-70.90110547,90.94093932,-428.0821628,-291.8458929,
411.7279997,1608,-64.51195089,-45.63721012,-78.88621952,-70.58651127,175.0608191,86.90005523,-22.80043725,144.6072689,18.40190733,-51.49440906,0,-93.879647,93.46608821,-201.2789542,122.6072905,-1043.540813,
411.7359997,1608,105.0725628,137.7557231,88.00852251,60.70422458,-251.4608008,151.8825645,-51.97248767,-109.975878,-54.57887387,-15.10218827,0,63.78474808,-108.9024305,333.2561479,-139.4669175,109.1093488,
411.7439997,1608,-14.98101693,-49.25194695,-17.13536869,-30.70588809,131.1553501,-320.101627,59.6911719,8.349798267,58.04794395,47.63600296,0,-6.081410866,51.08948337,-211.7114354,-278.3558094,-973.547119,
411.7519997,1608,-1.215870055,54.96323394,-19.74840642,-5.831846001,-31.84804414,376.301842,-89.86478426,77.00789141,-35.55402007,-69.04783759,0,-35.42696794,-7.093301153,151.9833564,178.1408753,-421.4407722,
411.7599997,1608,67.12435936,53.98436308,60.76553773,28.09301041,-156.2343303,-249.802409,23.47690292,-148.0517519,-26.86408383,44.79151412,0,64.03435573,-89.06658695,112.9909004,-405.0045075,-220.4523461,
411.7679997,1608,-78.73393869,-73.53119093,-84.51050166,-83.32180859,198.1190826,33.93834092,-19.81311217,122.2845701,21.6872067,-43.81677172,0,-99.16337474,98.03666317,-247.4338398,84.48659136,-1075.034166,
411.7759997,1608,86.53920005,120.3669137,69.51537906,40.56480017,-221.0732998,193.5545621,-75.88282396,-109.0411325,-63.77758248,-28.0076586,0,42.36996912,-94.57123747,327.3319116,-82.07565863,103.1457195,
411.7839997,1608,-10.65329351,-52.36780724,-21.75591969,-39.73864976,108.1136815,-352.7426542,56.09667545,-13.77488166,34.28057594,37.67769698,0,-17.20173843,29.9711588,-209.0008833,-294.6384085,-922.1497116,
411.7919997,1608,-7.666273936,39.81934795,-36.23072189,-18.65488605,-11.01833092,367.5090445,-94.12735456,87.67205128,-31.34086666,-71.50317984,0,-45.55969411,-6.517317273,117.1339578,187.6644706,-477.4426163,
411.7999997,1608,82.22927166,69.57111577,73.13468941,45.9800181,-167.4893799,-234.8478385,22.68343212,-138.7395421,-7.15098912,55.80655289,0,74.81592295,-80.54691576,135.7488676,-399.9295433,-197.6434667,
411.8079997,1608,-66.89149527,-60.21042623,-69.70792416,-56.27549365,177.3288998,8.190641074,-0.801111004,145.3823532,35.7777306,-30.2541066,0,-88.75208574,99.00151743,-251.1454671,63.85112608,-1106.320892,
411.8159997,1608,78.34870547,117.3577443,70.80147361,55.08706445,-228.5340724,222.8906854,-71.9981761,-89.78087467,-64.24861882,-24.76690504,0,50.59586,-109.4323729,335.7698344,-75.54329676,77.46044343,
411.8239997,1608,-6.473584512,-47.20707987,5.72179186,-21.02154909,100.1417519,-353.5722061,77.50317442,-13.03481381,47.38644449,64.34410132,0,11.23214319,29.05129538,-183.3010536,-322.1420582,-917.3209868,
411.8319997,1608,-12.62836639,36.30382416,-17.44051679,-15.75392425,-1.3337344,363.0268559,-77.83153723,98.60016712,-14.24644101,-48.86774316,0,-28.67699978,19.51629734,105.7962671,178.2950136,-523.8983032,
411.8399997,1608,76.84555643,62.73939031,77.5745289,41.37258573,-163.1960376,-207.313603,11.05932291,-156.3562085,-20.11180683,51.66358756,0,74.00752756,-83.61715728,146.6582078,-406.4576085,-184.1529739,
411.8479997,1608,-63.88461427,-68.27040981,-69.57572112,-68.14288995,194.159232,10.16989615,-3.758596641,130.8994024,34.16157711,-21.63343253,0,-83.39688114,97.46298837,-228.9357112,46.10150671,-1115.312758,
411.8559997,1608,69.61073939,102.5907661,59.7174247,33.38103903,-218.4995414,225.0436865,-78.22353756,-88.11086681,-53.61953837,-22.72838771,0,49.94265997,-94.163013,331.5745083,-70.70445126,66.06564851,
411.8639997,1608,-22.19705645,-68.1658883,-6.745966763,-30.49887362,101.0259056,-367.5201145,68.32373475,-29.47093005,30.08482852,35.1414923,0,-14.55044937,26.59687258,-219.4901649,-328.787789,-899.0251855,
411.8719997,1608,-21.33215542,16.9508223,-22.34043609,-15.8026659,16.3835697,354.5250779,-78.20824379,93.95473184,-25.0135685,-69.01627934,0,-47.03171631,17.81620944,82.2643866,187.2600629,-540.6729244,
411.8799997,1608,67.72349767,45.80572541,79.44793021,36.82858014,-162.465401,-219.2604642,5.380629351,-170.1115373,-15.6017762,40.45765371,0,70.57998271,-86.47490216,150.9092382,-393.4432331,-164.3946889,
411.8879997,1608,-87.21426908,-95.81969665,-73.73461415,-75.00089848,194.6859707,-26.35349766,-9.077337984,107.096247,18.94276782,-47.08487796,0,-108.9918139,85.57499247,-254.0844786,55.93465932,-1106.648332,
411.8959997,1608,66.46113914,97.82656502,68.96721952,41.85327352,-226.5375901,221.925475,-69.97206138,-78.091423,-67.83894115,-27.10015246,0,40.07750484,-105.0578797,323.8712442,-45.20147412,68.30243506,
411.9039997,1609,-8.274756021,-58.28937919,14.76205018,-24.90165856,74.47602776,-380.1286709,75.08538329,-17.99301873,35.5347013,50.1306308,0,-0.086798104,25.91999163,-212.6967167,-326.9350689,-880.8749184,
411.9119997,1609,-37.85675705,-3.673550677,-31.79942609,-38.52400675,6.023669108,345.3130842,-94.43810686,87.52648113,-27.5650741,-76.8925003,0,-59.65573694,28.33802888,65.84915798,195.474985,-551.4325584,
411.9199997,1609,55.11863996,31.80031863,62.59852424,19.06055182,-177.7809013,-207.4833888,-7.733411549,-171.7558841,-30.41937458,28.17047199,0,54.12172455,-81.164162,147.2653453,-383.8700817,-145.0520518,
411.9279997,1609,-69.5187554,-84.53774883,-64.78550296,-66.82604649,180.9367341,-31.48704342,-7.244145864,118.116667,21.28779775,-44.32200277,0,-109.4444256,93.71018705,-270.9169347,46.82206628,-1110.609787,
411.9359997,1609,81.94257518,107.3572954,81.86299231,54.06573935,-230.774261,239.4946505,-80.00190934,-75.2652902,-43.59467691,-18.08030658,0,48.27001628,-86.76745175,332.2668067,-54.66925701,46.29282228,
411.9439997,1609,-9.648313409,-61.17563753,11.64039066,-22.37585099,71.57765942,-379.08383,64.19153215,-28.81407939,54.47911423,59.34814637,0,9.741699869,43.86588454,-182.1766626,-352.0123,-885.6417957,
411.9519997,1609,-43.55475314,-8.572335935,-40.1612061,-34.66242233,13.03606765,326.4716651,-99.39475757,84.63355976,-30.38652965,-77.90640228,0,-62.65660438,29.75040163,64.32814657,196.174018,-571.8918046,
411.9599997,1609,66.17405753,44.07721456,81.14308036,43.60553083,-176.1039603,-205.8150416,-1.985982386,-166.117137,-28.73378312,38.57170016,0,63.52316266,-85.8501555,166.5715702,-383.0841894,-140.4494452,
411.9679997,1609,-68.23794201,-80.2302738,-50.75914016,-46.47113203,186.2538391,-29.39681317,9.9080894,138.8201798,39.43293522,-18.67904274,0,-86.74382549,117.5689624,-246.4094459,26.77861341,-1136.334441,
411.9759997,1609,49.67151665,80.78679148,51.63075906,35.56366259,-219.8393424,249.9367367,-89.35757162,-68.07885931,-57.0470795,-23.69569829,0,47.83469311,-76.71673464,332.2464664,-45.85817098,29.50433966,
411.9839997,1609,-43.14055399,-97.87440758,-23.70591312,-54.22534925,97.25540355,-381.693174,40.42512936,-42.68155048,11.53992975,24.43989672,0,-20.21873482,21.01487374,-212.4657586,-343.6542712,-861.0473157,
411.9919997,1609,-47.16766583,-16.5326172,-41.25257954,-37.18712061,39.16697637,331.2199441,-94.79205829,104.4972404,-47.38976327,-92.49796619,0,-84.49849065,19.81402433,41.16056459,215.3308672,-572.8610897,
411.9999997,1609,73.56094003,49.79865547,89.89459502,47.65046489,-181.0240066,-198.6097171,12.31538131,-147.8791031,-27.6985905,48.64174576,0,72.00981561,-91.12021788,191.5814589,-371.650856,-123.377552,
412.0079997,1609,-89.3200915,-109.5473976,-75.36713235,-75.50529994,205.2759725,-54.87683244,0.722124461,121.5379208,23.57580984,-31.30596326,0,-100.7190248,108.3819193,-265.3099355,24.52428928,-1138.398783,
