Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id,,,
344.9679998,1347,776.7701262,181.9381911,47.16194592,-287.5362351,0,-399.216231,169.9540929,-1620.12692,-43.57349021,-68.25684571,-27.95294601,-502.5051091,166.0328852,-26.7252459,-228.4380816,0,1111,,,
344.9759998,1347,695.9774093,191.2417579,-119.0824409,179.0073762,0,238.9268189,-240.5651613,-593.0555111,-183.5662295,-88.04733517,-174.1170465,-299.9516223,-94.49971612,233.0891867,83.70889988,0,,,,
344.9839998,1347,953.4247927,334.6521367,149.505769,-258.4750072,0,-385.698123,-96.18625658,-1906.439996,-188.9182984,22.01682327,-87.5786291,139.3145301,57.88090692,241.5906376,-346.9624047,0,,,,
344.9919998,1347,611.7512433,77.06821418,-108.9078168,-41.55107373,0,-46.37169083,118.0863247,-826.5987722,-44.27756991,-137.5772011,-73.07644998,-816.3149804,81.01372778,-106.2718033,28.37415465,0,,,,
344.9999998,1347,922.3765757,380.2365779,56.649679,74.4440793,0,63.35140403,-368.9486997,-1174.591443,-288.2732018,16.17951876,-191.4328602,321.1218245,-128.526423,455.5927627,-141.1131661,0,,,,
345.0079998,1347,795.1079637,187.393989,81.64560894,-356.4901554,0,-497.0104376,241.2295017,-1763.172618,-30.01721032,-60.99833345,1.614197122,-495.3376919,206.7474625,-79.98495048,-281.4804318,0,,,,
345.0159998,1347,730.3065152,258.4827515,-112.724584,247.6504048,0,317.8487937,-230.3932387,-436.7533106,-178.0378879,-81.10323056,-171.8214635,-287.8282192,-118.6376831,233.4319324,131.747352,0,,,,
345.0239998,1347,1014.47644,401.8666753,204.9657998,-274.9205138,0,-426.0923921,-68.21694259,-2003.098923,-143.4826313,77.64816301,-54.02112597,247.6770695,102.9511777,329.6323249,-387.1936352,0,,,,
345.0319998,1347,608.1562124,69.05359626,-114.4509922,-41.3166942,0,-54.04244147,144.0132769,-813.9327785,-14.78627923,-121.8437419,-46.61351801,-811.1777932,117.1841751,-119.3296665,34.01077225,0,,,,
345.0399998,1347,945.7445458,384.4033991,25.76081459,110.9719145,0,103.4583943,-413.4103663,-1119.42867,-293.9745531,32.61985127,-179.751698,410.4946086,-153.3437243,450.212075,-119.9239307,0,,,,
345.0479998,1347,788.5364617,170.8730169,52.1459478,-389.3116747,0,-533.5465369,224.19706,-1806.236738,-15.64479841,-42.87828788,25.18784022,-457.7025131,203.8052376,-101.4745483,-290.4838573,0,,,,
345.0559998,1347,697.7867247,227.9862203,-159.7336779,249.456549,0,329.1252404,-263.9565564,-365.6694465,-207.9457789,-100.387951,-182.5127357,-290.2206528,-148.3588426,166.3311494,152.5883778,0,,,,
345.0639998,1347,1030.51611,405.1236411,184.5081869,-283.7155372,0,-442.3755701,-90.46847395,-2012.79098,-169.378181,60.96798269,-68.3543019,284.8727117,81.26102113,277.0291209,-398.2839635,0,,,,
345.0719998,1347,633.6230768,125.4777014,-101.4531858,-41.73438819,0,-76.33128048,181.3991365,-840.0789739,10.38112655,-109.2434379,-45.08491506,-835.5538447,117.5474836,-127.5377846,22.09504243,0,,,,
345.0799998,1347,973.1462963,437.3334755,69.32539508,145.1687243,0,109.9060867,-361.1773822,-1127.476258,-262.6213604,78.16359699,-164.6062218,425.8969772,-131.0405929,496.553543,-130.5809017,0,,,,
345.0879998,1348,802.6521548,151.1407383,71.58391101,-377.0293211,0,-527.7145789,251.6890647,-1847.061795,18.73548418,-9.389663462,62.08553978,-412.5597199,249.269743,-63.8264363,-305.749536,0,,,,
345.0959998,1348,719.0833564,239.2427923,-164.5913847,282.0406455,0,390.8839248,-247.518843,-339.6925404,-174.6745691,-94.65095585,-148.5948021,-274.5317985,-147.5549872,172.7996008,179.9761785,0,,,,
