,Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Aux1,Aux2,Aux3,Event Id
53563,428.5039997,1673,-148.9503799,5.433722822,-46.38177248,41.19169466,4.286642622,81.77378893,-90.75536811,-201.8945489,-174.4013996,16.88027264,57.13775097,-88.98458114,0,-128.7232718,-120.372931,0,0.001146443,-0.001178074,-0.008405275,1111
53564,428.5119997,1673,-7.660594088,-7.978444268,60.23369192,-15.45297266,-6.931373809,-35.94197406,235.862134,324.1154954,320.2516873,39.89861649,-22.96537459,144.3920657,0,116.6208378,394.7311045,0,0.003962082,-0.001215894,-0.001425721,
53565,428.5199997,1673,21.35466143,43.0555903,-61.26005737,16.64494833,-53.48323687,86.7815083,-280.0903338,-337.6943072,113.6706892,2.407960111,10.22474403,42.52505515,0,24.90594837,469.586395,0,0.00358928,-0.001256389,-0.00233954,
53566,428.5279997,1673,-153.4920654,-25.27825092,29.9681435,24.94765035,26.93004911,6.751867191,237.0614533,201.5565901,-52.95803139,41.78229898,27.76540649,-33.42534585,0,-58.22060681,-175.8829819,0,0.003046254,-0.001416654,-0.004434945,
53567,428.5359997,1673,103.8585732,34.25225309,6.926039082,-9.665947002,-51.18599769,37.75071977,-71.14351651,-11.58594769,409.6317718,24.37253348,-34.54112958,188.2722245,0,181.1618923,776.7006587,0,0.003747679,-0.001424067,-0.002450429,
53568,428.5439997,1674,-146.9213333,3.485817128,-49.72424286,40.74870644,-11.7528347,95.37339699,-90.49554761,-212.2196214,-176.9868661,17.5664858,44.70695024,-87.08141021,0,-116.4611786,-111.902577,0,0.003360549,-0.002406185,-0.004847164,
53569,428.5519997,1674,-8.780282236,5.389837003,57.93271524,-5.891519725,-15.27997423,-5.15243393,229.6310228,314.3408163,304.4829491,47.08668528,-24.15721156,137.8363773,0,121.85616,382.0703265,0,0.003448665,-0.00386844,-0.006133302,
53570,428.5599997,1674,18.57087073,53.64286889,-59.1369495,27.19060674,-52.00002734,101.0971079,-284.3785982,-345.0158093,114.8515928,21.67327392,28.88123295,49.70099027,0,33.9432976,434.3287015,0,0.003647623,-0.00374638,-0.005656648,
53571,428.5679997,1674,-183.4717108,-37.27476733,27.54300551,15.64204833,14.23026467,-7.056307353,233.1849512,195.501554,-58.5315935,37.16814899,29.92823429,-41.29253583,0,-70.78057653,-210.3330199,0,0.003397768,-0.003475587,-0.006270387,
53572,428.5759997,1674,86.32197703,39.21829164,13.76122374,-8.108183835,-54.82037353,40.87763908,-75.94117838,2.529042145,408.4507693,12.92401774,-34.39434342,174.717453,0,169.07629,750.974327,0,0.003656217,-0.003903852,-0.006091941,
53573,428.5839997,1674,-147.9290988,10.19139405,-38.5652116,47.86075433,-0.315483013,93.72332168,-97.02539284,-201.8393342,-162.1770247,19.01355825,65.98354144,-85.91168729,0,-116.9771096,-162.1201536,0,0.000962477,-0.005444092,-0.007310518,
53574,428.5919997,1674,-28.38820278,-13.8826008,64.67313708,-16.39681243,-10.17363982,-26.9164367,241.0227959,333.3352723,315.4391468,35.14174466,-19.44180644,130.0937573,0,107.9953035,330.3369694,0,-0.003166276,-0.008318106,-0.008788782,
53575,428.5999997,1674,7.827494789,50.190973,-54.55139834,26.82219397,-49.90230443,108.4894451,-284.3592432,-330.1628821,119.8278756,3.838916025,17.49033967,32.72091714,0,20.00598035,426.4917461,0,-0.00254369,-0.008096219,-0.008713961,
53576,428.6079997,1674,-180.7981761,-22.14829431,31.60701033,31.86195636,23.7211919,14.06952369,226.3219964,199.214346,-57.75775884,43.13981472,38.43523009,-48.39990442,0,-71.9179463,-244.4237663,0,-0.001481479,-0.007242167,-0.008594692,
53577,428.6159997,1674,84.73918429,38.94080214,16.07853509,-5.737256155,-46.80640016,37.86870456,-67.86709033,14.71092822,423.3624478,26.48717503,-22.93058423,180.0016426,0,171.5452121,708.9566232,0,-0.002515717,-0.008180893,-0.00900234,
53578,428.6239997,1674,-159.1538913,-1.7210389,-44.96400712,39.44834664,3.224160984,84.94535621,-94.54063439,-205.339964,-162.0432504,13.77574551,60.63173277,-91.47725521,0,-123.404334,-187.1357132,0,-1.23E-05,-0.010183403,-0.009831033,
53579,428.6319997,1674,-40.36762124,-21.55525678,59.16445876,-18.95653909,-9.813577587,-39.2627308,249.8904272,329.5401213,305.0721255,27.91243753,-27.99142414,123.1546296,0,104.4141421,301.7091289,0,0.002737813,-0.014466922,-0.011338581,
53580,428.6399997,1674,12.14976499,48.27205388,-56.61755907,27.77653542,-52.06789507,105.3166385,-284.1690282,-330.9719402,127.0079777,1.535586254,11.20994033,39.05086774,0,21.36145008,423.3322565,0,0.00219244,-0.014136727,-0.01138109,
53581,428.6479997,1674,-167.6041301,-21.39084861,32.47939843,37.14281912,31.58324652,28.39824266,224.9108642,199.7300057,-62.32421844,36.26257169,41.04516605,-44.69681041,0,-75.90872473,-268.849245,0,0.001968259,-0.012640547,-0.010984267,
53582,428.6559997,1674,101.69688,44.43833238,23.6099923,3.105076668,-35.29406918,41.57512446,-55.70386874,16.74819154,431.3151637,27.78592754,-10.27701529,192.3855559,0,175.2146528,676.4896418,0,0.002431217,-0.014101841,-0.011588536,
53583,428.6639997,1674,-140.6104926,11.55591614,-39.55925639,51.75429885,10.55226064,99.47371289,-99.86665162,-222.2815631,-149.7620961,25.86472933,71.5482546,-78.02982512,0,-124.1526454,-203.2000351,0,0.001346514,-0.007920569,-0.012234169,
53584,428.6719997,1674,-21.19455824,-8.703587868,67.95614091,-9.575506981,1.230422658,-17.93662244,249.0217421,330.8266198,308.7560209,38.93954996,-10.8551115,133.1025012,0,106.0849009,267.4303926,0,4.69E-05,0.000309769,-0.013762505,
53585,428.6799997,1674,31.18810602,57.7458255,-43.12231908,27.33174651,-41.34436777,103.6758461,-277.9146192,-331.1545925,147.7143024,8.523369312,34.06869602,58.25681861,0,37.37214044,396.7389102,0,0.000374864,-0.001047229,-0.013796731,
53586,428.6879997,1674,-161.6042529,-17.86090976,36.68644796,30.76556227,33.82357999,22.67823955,224.3117837,173.0247545,-52.72550265,40.9104736,47.05847304,-37.04058205,0,-74.75492198,-296.5340725,0,0.000631401,-0.002657241,-0.01330181,
53587,428.6959997,1674,266.2912885,73.16685655,13.58507377,-34.42548769,-88.72361986,42.96673489,-217.6869439,-91.41457457,735.4014946,13.64184212,-63.49153946,327.3060122,0,325.4712601,1244.66351,0,0.000429998,-0.000826594,-0.013945595,
53588,428.7039997,1674,-12.67842369,54.29031893,-88.7379404,42.46735659,-40.2060498,147.7217941,-405.8649821,-541.0887261,-17.64902753,4.342595812,52.980755,-21.3759437,0,-48.06893614,205.282071,0,0.00067086,-0.002060715,-0.013646711,
53589,428.7119997,1674,-214.1542499,-50.27589413,75.60453025,23.90840392,58.44166255,-20.75103128,444.0721065,433.3659562,-59.6025809,63.16197144,38.16102333,-35.47048671,0,-76.39920134,-476.8140534,0,-0.000169395,0.000653057,-0.01205759,
53590,428.7199997,1674,133.3891347,52.12693216,-0.735698006,-6.717798296,-57.38640004,55.22403928,-166.2535728,-105.5422297,450.3335792,28.32310839,-20.19077477,200.5061326,0,185.3797783,760.6955914,0,-0.00154694,0.005233296,-0.009460874,
53591,428.7279997,1674,-105.1593142,15.62119393,-39.03802405,42.90816513,-0.076836624,94.26191834,-104.8798232,-211.9170833,-98.96686376,29.03326212,53.64960861,-60.9800313,0,-93.02196446,-137.4478584,0,-0.001209503,0.003875425,-0.009659352,
53592,428.7359997,1674,-69.21556305,-15.98017534,56.90463369,8.418138189,20.06661341,-1.284089625,280.4687009,311.7373388,157.2499988,55.15820149,-1.085388835,56.47448636,0,36.40451768,-8.595865361,0,-0.000851828,0.003324308,-0.010669611,
53593,428.7439997,1674,88.2114715,45.00604986,-31.28135939,5.559164672,-45.01531253,86.88956403,-221.603349,-221.6891488,283.3126475,27.560803,-5.966026907,117.8048018,0,110.791396,543.111705,0,-0.001120005,0.00402489,-0.009835011,
53594,428.7519997,1674,-151.9102379,-18.86314483,-6.367774145,31.24066602,30.00917556,50.97031695,84.84221719,12.43345544,-118.9527886,44.41673217,45.11012309,-67.06533173,0,-92.60529595,-326.9571459,0,0.00092628,0.000620268,-0.012187169,
53595,428.7599997,1674,43.7099089,13.19662737,40.19577577,-2.149694783,-1.97139425,3.480158256,106.0120659,183.4379017,331.5301779,47.49690446,-22.23338424,139.7197776,0,133.6963341,346.885088,0,0.003726129,-0.003388222,-0.015004498,
53596,428.7679997,1674,11.63708408,42.17501794,-42.34014323,35.12225155,-9.470624727,99.59636147,-212.542684,-268.2220484,81.72116471,37.299419,28.98061472,22.5336343,0,14.31358396,165.3663298,0,0.003387649,-0.002955902,-0.014480695,
53597,428.7759997,1674,-112.506585,-26.08660758,35.56413204,19.49899423,38.9075686,22.9443109,236.0998679,217.7305689,14.26648443,64.85114273,22.52871841,-9.311288102,0,-18.89980947,-267.1276942,0,0.002839786,-0.002184705,-0.014198843,
53598,428.7839997,1674,111.5925392,37.88339793,3.494186059,-0.751800228,-35.20324208,56.85600306,-88.9674523,-40.08438845,377.2849992,39.93473785,-30.39288279,157.0811395,0,172.4164071,548.0494322,0,0.003567395,-0.00320329,-0.014728173,
53599,428.7919997,1674,-114.4204345,6.306335361,-30.51588625,50.02196365,17.52687578,80.8393276,-47.17484114,-149.8382119,-127.4996388,49.14270615,49.77779616,-69.84702723,0,-81.84721422,-288.8515052,0,0.003180271,-0.007873415,-0.014461534,
53600,428.7999997,1675,6.711417561,-10.55718064,58.86710254,-4.881785828,0.421760943,-12.63400841,217.5125303,287.3791923,298.9200255,67.14913595,-21.12734041,131.2626561,0,127.8296011,184.0001547,0,0.003289705,-0.016344625,-0.014567653,
53601,428.8079997,1675,36.36991156,45.29546979,-41.55945869,30.87337981,-39.17566331,108.4851822,-249.1377238,-291.7973711,135.0777178,36.77092704,11.48979814,46.54610929,0,51.85537382,276.3677788,0,0.003493845,-0.015584275,-0.014724486,
53602,428.8159997,1675,-139.435368,-19.13805614,30.34322752,38.77664518,40.99991552,37.96714362,208.1861447,173.3180709,-55.80514306,74.07445077,37.44253492,-36.39933103,0,-44.60008717,-374.2272337,0,0.00325905,-0.012990358,-0.014579099,
53603,428.8239997,1675,110.9658952,33.13878609,16.3830124,-4.465857094,-27.00480464,53.61771523,-42.95672766,21.05032662,404.989947,57.67066697,-29.69759244,184.7120887,0,195.8052253,530.4657681,0,0.003528092,-0.015655663,-0.014781498,
53604,428.8319997,1675,-115.9641666,7.732635761,-42.35504203,44.84910784,14.36627928,105.3111564,-96.37124288,-213.8350681,-154.5537678,46.58168718,48.21877877,-72.03631042,0,-82.91424155,-296.6744855,0,0.003423901,-0.012178628,-0.014728925,
53605,428.8399997,1675,-12.11867802,-17.4739636,58.53771143,-15.31639007,22.08456095,-13.44407263,252.8895449,323.2841344,272.7786458,63.8969642,-20.39179868,127.6503256,0,127.0846484,106.4314697,0,0.003481196,-0.00961493,-0.01477809,
53606,428.8479997,1675,42.09707907,38.32395507,-55.16158588,11.99589872,-21.81972086,99.26251164,-257.3799088,-300.6620531,150.5686975,30.28752026,3.095868446,60.16719341,0,66.27179754,291.1432898,0,0.003568196,-0.010548172,-0.014859183,
53607,428.8559997,1675,-152.4543376,-35.12979677,20.60297423,26.49869316,48.00038026,23.68406215,214.8938631,168.8451854,-87.98583983,65.26108577,23.57833183,-48.59389041,0,-60.67765343,-410.5921224,0,0.003508211,-0.010150537,-0.014826167,
53608,428.8639997,1675,111.2822228,14.79805122,13.24780724,-22.33447454,-30.42017468,32.03842648,-27.98045885,38.55251473,405.7311158,50.86800259,-42.84990961,182.9934337,0,193.1198547,540.1081287,0,0.003625213,-0.01025392,-0.014923363,
53609,428.8719997,1675,-114.1745728,-3.181621303,-60.82047007,29.93010374,15.12055554,95.62013029,-115.4451029,-240.8854373,-162.2470662,42.84618675,42.77834239,-87.58530598,0,-100.1734089,-300.3800304,0,0.004458921,-0.005835609,-0.013197292,
53610,428.8799997,1675,-12.61651616,-21.26082306,52.92129728,-12.80357893,35.27792238,-10.99231655,265.9094536,330.3118549,258.1590851,68.77452726,-27.33617324,110.6097014,0,104.0295425,75.88273568,0,0.005900554,0.001121712,-0.01046105,
53611,428.8879997,1675,56.33282016,40.8105903,-51.97567935,21.51208037,-12.61882538,110.8419517,-259.8600106,-319.8002834,150.7588043,43.63551899,10.97500616,65.06584177,0,70.85426718,285.8804644,0,0.00575764,0.000257036,-0.010863602,
53612,428.8959997,1675,-147.9087784,-29.32266932,20.75414764,32.29847144,59.42645583,31.71205618,215.3956925,151.2037278,-93.38113661,70.79762779,40.29638872,-43.20272086,0,-55.84098046,-458.6753051,0,0.005384631,-0.001557402,-0.01163179,
53613,428.9039997,1675,118.968605,27.92201191,19.52737562,-9.68140101,-9.877911528,39.60855064,-22.68213214,42.12560266,414.8006045,50.65446689,-30.55920438,194.5937471,0,200.2432595,503.6003107,0,0.005821041,0.000329522,-0.010920604,
53614,428.9119997,1675,-103.955026,11.47969968,-46.91882768,52.36769502,32.01137459,108.0921026,-116.0548205,-259.1428017,-154.2525623,52.19415522,66.07438748,-71.38927471,0,-84.0054019,-340.2191382,0,0.006416259,-0.0026543,-0.012341855,
53615,428.9199997,1675,-8.458094351,-12.6050592,65.67846006,0.100072763,33.66546005,-6.24620642,282.4355123,329.2250879,269.2784937,69.68945295,-15.40318407,122.1035967,0,116.6173238,33.00146456,0,0.007869234,-0.005325339,-0.013719374,
53616,428.9279997,1675,65.13583758,43.17269019,-48.75590899,22.31844724,-23.25085423,105.8435409,-258.7566896,-316.9080006,160.2640575,32.86106782,7.021685634,67.09767213,0,72.76073032,279.3538283,0,0.007786439,-0.004537698,-0.013424649,
53617,428.9359997,1675,-141.7872506,-31.98687031,21.6830167,29.14166278,47.40013778,16.23934737,212.6915804,149.4068069,-105.6206931,66.28774615,40.60723906,-54.07118265,0,-62.41882974,-480.1375096,0,0.007250985,-0.004646094,-0.013426174,
53618,428.9439997,1675,130.7441125,34.63002284,21.96131506,-12.74973838,-28.73363394,34.06567406,-21.01887862,52.97719723,412.9095448,50.46386206,-35.15929546,187.5342033,0,200.1430366,503.3989151,0,0.007781677,-0.004796404,-0.013608407,
53619,428.9519997,1675,-91.99795299,29.26098729,-44.58456112,57.65272513,18.77410552,125.4093451,-130.7508113,-252.4215844,-159.1555509,57.53430142,64.48815744,-74.63660285,0,-84.76579863,-329.2596435,0,0.00570181,-0.007312265,-0.017867974,
53620,428.9599997,1675,-3.349085573,-0.747976803,73.18374694,6.909010263,32.92029199,-3.406534078,280.1771867,343.0414811,262.434756,88.08687697,1.979075307,125.7530755,0,126.1532155,-0.445143268,0,0.002969221,-0.011530712,-0.024883685,
53621,428.9679997,1675,72.67817427,52.25909725,-41.79287494,22.50996947,-24.88684912,105.7818235,-264.9744822,-314.3993001,174.5893361,40.89164399,19.0850337,76.08061237,0,88.53580735,258.0183102,0,0.003433459,-0.01105232,-0.024058541,
53622,428.9759997,1675,-148.144718,-14.82842847,27.13733524,36.00488804,48.86203979,42.42532706,200.214748,140.9016631,-103.459758,66.47563054,43.78280386,-54.96146139,0,-68.41718207,-507.5074156,0,0.003960555,-0.009896815,-0.022159324,
53623,428.9839997,1675,121.2605258,52.19995238,28.49524095,-1.003525365,-16.43244874,50.02741657,-15.33229857,54.71800264,419.9766026,68.70789613,-18.13159304,199.578453,0,204.5487595,447.9175238,0,0.003368768,-0.0110973,-0.024146455,
53624,428.9919997,1675,-101.6865126,30.81031661,-48.44395105,57.22024722,31.84497161,110.7415434,-132.7986282,-268.9437189,-151.6923923,64.88265806,74.40617537,-61.6759291,0,-75.44191155,-385.3270502,0,0.004634504,-0.006862908,-0.021943713,
53625,428.9999997,1675,-29.34458927,-10.48044879,62.92730917,-3.448965991,40.13404198,-21.66185389,281.5401244,330.1738127,249.7271827,76.51869382,-6.752235001,119.6772612,0,114.9599265,-52.48799627,0,0.005988955,-0.001375365,-0.020708101,
53626,429.0079997,1675,49.23253695,54.49211474,-48.02321222,19.8499984,-19.80713569,106.6002044,-259.5516986,-321.207798,166.3529012,37.64663407,14.41457951,72.89582773,0,79.95223309,228.6936962,0,0.005676732,-0.002373077,-0.021301752,
53627,429.0159997,1675,-167.4705545,-11.77353883,25.2214838,40.0087845,59.06770419,39.81314883,208.4905885,129.3176629,-115.4926214,72.7077353,50.99032814,-52.82012198,0,-66.39085453,-545.3985128,0,0.005570118,-0.003341598,-0.020799381,
53628,429.0239997,1675,101.4322504,38.90811703,25.45561592,-9.815302619,-13.92674313,27.20691161,-3.541944148,56.08636993,414.5711762,63.81949229,-21.68206006,201.3084395,0,202.8686104,436.3451268,0,0.005764491,-0.002211952,-0.021049716,
53629,429.0319997,1675,-111.5566142,29.78493771,-54.66310753,48.72107756,22.71809546,108.7452263,-144.2239505,-269.589339,-159.1523419,52.33284053,62.28195726,-64.77647243,0,-91.31204336,-364.4192781,0,0.005638432,-0.002139217,-0.01909232,
53630,429.0399997,1675,-23.85167677,7.748882906,66.24483282,1.35513561,33.67155496,-10.68187261,274.9421843,345.1227271,241.0907652,80.55338766,3.711818397,127.8201716,0,106.792258,-60.25989375,0,0.005669729,-0.000659975,-0.01629835,
53631,429.0479997,1675,61.6523174,58.29215399,-45.88567375,14.78166884,-30.71787288,87.50007224,-266.6652667,-308.0077606,180.0410939,36.77585004,27.88590367,92.03151458,0,81.79604265,234.7725554,0,0.00571282,-0.000605951,-0.016653213,
53632,429.0559997,1676,-159.6338838,-10.20136521,18.75372481,30.510588,48.84149896,27.91128202,187.3686896,126.714026,-115.802382,55.90705027,49.44382445,-50.64217684,0,-75.89618323,-540.9550915,0,0.00564454,-0.001490162,-0.01724139,
53633,429.0639997,1676,117.1717572,61.40407033,27.6184667,-6.080192297,-11.1597787,40.86627127,-11.27280338,62.08628175,413.1050908,60.02046908,-15.22260207,206.1954969,0,202.4260339,420.9260972,0,0.005706081,-0.000759028,-0.016533729,
53634,429.0719997,1676,-98.48121633,45.79256923,-49.57077856,53.46694285,27.43102953,112.714724,-146.8862058,-284.954208,-152.714779,61.99011407,77.86307042,-53.63520699,0,-79.79075723,-388.9372562,0,0.005674952,-0.001310809,-0.016071633,
53635,429.0799997,1676,-26.92797695,12.8810402,68.7060179,0.768857454,40.24836239,-4.840882957,274.6918125,322.6429983,237.7306806,86.54994973,5.227163297,127.6776424,0,112.1470396,-95.25923089,0,0.005677397,-0.001298458,-0.014617156,
