Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Channel 17,Channel 18,Channel 19,Event Id
428.6879997,1674,0,448.7485501,0,92.1383921,-80.97386088,-80.16109275,0,-219.8265102,6.03E-08,-113.2581871,595.8023659,0,129.0525976,59.73095359,0,0,-0.001127196,-0.007602977,-0.007992334,1111
428.6959997,1674,0,110.2360272,0,-67.72265704,104.6130734,122.9886936,0,-31.55791258,6.01E-08,-59.69768385,460.3169973,0,50.58422828,53.74398764,0,0,-0.000637955,-0.007954989,-0.007706337,
428.7039997,1674,0,204.5041121,0,8.812237256,-5.381381341,-34.77008722,0,-153.3964551,5.99E-08,-7.936928565,291.0547146,0,3.696586312,-2.731151596,0,0,-0.000572115,-0.006147131,-0.008033285,
428.7119997,1674,0,305.7930638,0,16.1622079,13.79342281,38.82988974,0,-122.8015469,5.98E-08,-149.0436766,724.8998051,0,170.4653104,71.02193624,0,0,-0.000673763,-0.007741056,-0.007771463,
428.7199997,1674,0,-2.541460003,0,-86.12252697,107.3929516,85.23879924,0,-46.10193616,5.96E-08,21.88684025,217.3971694,0,-38.84685699,-10.50359448,0,0,-0.000503528,-0.003252883,-0.007034188,
428.7279997,1674,0,405.2316059,0,76.59707604,-77.60467693,-83.53966266,0,-211.9283759,5.94E-08,-99.40649,621.880263,0,138.136295,27.81275019,0,0,-0.000505294,0.002221777,-0.005636454,
428.7359997,1674,0,86.57352226,0,-62.36142026,92.52712106,108.3475104,0,-42.52540776,5.92E-08,-77.9433644,487.57264,0,61.38408347,39.56131209,0,0,-0.000473657,0.001166474,-0.005735782,
428.7439997,1674,0,209.7673685,0,16.10695422,-5.950962981,-34.73620533,0,-155.3777472,5.91E-08,-7.970800493,333.8188086,0,20.81840934,-9.098076435,0,0,-0.000379522,0.000372674,-0.006216057,
428.7519997,1674,0,308.7608111,0,13.55627046,5.95445108,39.35809383,0,-124.7864629,5.89E-08,-142.6115954,772.4153123,0,182.920971,66.67311964,0,0,-0.000381314,0.001386055,-0.005741405,
428.7599997,1674,0,-3.873477343,0,-74.78228717,84.55430083,73.47712606,0,-69.60483136,5.87E-08,5.024719643,260.5332986,0,-30.43407392,-10.2048262,0,0,-0.001164123,0.000727914,-0.003485665,
428.7679997,1674,0,391.3399493,0,85.13395822,-81.3479217,-80.16636923,0,-220.4536011,5.85E-08,-114.666963,667.7146295,0,151.4638259,33.75975653,0,0,-0.002515939,0.000797025,0.000727398,
428.7759997,1674,0,38.50956319,0,-72.97509218,100.9657611,125.6805055,0,-32.6309799,5.83E-08,-84.51392618,526.2097728,0,73.49695882,44.23624756,0,0,-0.002299432,0.001056457,0.000272173,
428.7839997,1674,0,135.7302592,0,6.209965899,-10.84816793,-32.47935427,0,-164.4197639,5.82E-08,-15.27093475,357.886774,0,22.69737416,-18.86176875,0,0,-0.001854964,0.000607035,-0.001068579,
428.7919997,1674,0,223.2510313,0,14.28175055,-5.549176516,29.07825365,0,-138.9337453,5.80E-08,-145.9743266,789.0838466,0,182.3367347,54.28631387,0,0,-0.002209465,0.000943619,0.00021857,
428.7999997,1675,0,-91.41483914,0,-74.21175792,77.06027038,75.46912449,0,-69.09255894,5.78E-08,4.337400007,286.9795317,0,-20.57950307,-9.974632965,0,0,-0.002735935,0.0024411,0.000992399,
428.8079997,1675,0,298.0365298,0,75.14467817,-84.71308481,-66.24315049,0,-213.5961077,5.76E-08,-108.3576879,691.9542092,0,157.3411788,29.05608801,0,0,-0.004111031,0.005218417,0.003850461,
428.8159997,1675,0,-42.95472537,0,-77.11822943,83.10721551,120.210368,0,-30.51913864,5.74E-08,-77.49921408,541.2460564,0,72.06197122,34.11483835,0,0,-0.003955318,0.004932626,0.003706854,
428.8239997,1675,0,93.60883034,0,21.04460745,-37.60924641,-49.86927926,0,-162.6213482,5.73E-08,-29.77851767,388.8615223,0,30.28843184,-15.37493769,0,0,-0.003347548,0.003998828,0.002331779,
428.8319997,1675,0,207.3908863,0,46.44100791,-27.66632111,14.62067057,0,-138.505773,5.71E-08,-176.8806289,830.1890708,0,195.4164321,69.46098174,0,0,-0.00380333,0.004872083,0.003472221,
428.8399997,1675,0,-119.9205424,0,-56.19898722,77.99425472,79.49536001,0,-49.6075983,5.69E-08,-14.85547428,316.7621238,0,-12.82196171,-4.819195063,0,0,-0.002512607,0.000774643,0.005118484,
