Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Aux1,Aux2,Aux3,Event Id
788.4239994,3079,-90.85725864,198.2328118,129.4045081,120.0355583,100.2524211,75.3173789,239.9420478,332.1830958,188.4496491,239.5173725,109.1545084,142.7433937,0,132.6682752,-69.68558894,0,-0.006463249,0.004635382,0.005474927,1111
788.4319994,3079,60.86932867,248.8257618,62.22370763,93.36142093,46.90677137,139.1536559,-128.7944993,-152.3298991,393.6089455,224.2006402,108.9556453,246.3679526,0,216.8721837,447.8839294,0,-0.005471962,0.004552034,0.004638709,
788.4399994,3079,-183.4424682,188.9054826,66.29089332,127.7213363,87.50873626,102.0770204,95.85731489,104.5745587,-83.1026746,194.6263821,142.8557116,-15.30635203,0,-12.39945076,-360.1760601,0,-0.006338595,0.004430696,0.004876574,
788.4479994,3079,50.79134463,211.7556372,107.3448651,76.21678097,53.19013675,45.52383284,80.16052423,149.6980142,474.7250553,242.9607852,71.45215758,294.1025104,0,262.1788073,420.280368,0,-0.003932091,0.004325976,0.001627097,
788.4559994,3079,-89.48652825,215.2055188,23.77065068,103.310887,55.31981625,137.7633205,-127.1370512,-189.0512723,43.45715106,168.0708239,125.4069639,38.64773942,0,17.68728092,-25.77492334,0,-0.001156005,0.004223789,-0.002778509,
788.4639994,3079,-101.2569227,184.638889,109.8905134,102.1204506,86.23840572,45.55300961,229.0414631,332.8377288,172.5072553,223.1730322,88.69592743,127.972801,0,113.1597283,-80.21554129,0,-0.001653591,0.00410898,-0.002441006,
788.4719994,3079,58.6458546,231.4211312,48.7951085,72.66611389,31.29479798,106.1449687,-132.1374624,-143.4999677,402.455011,214.5232319,83.85799913,240.7178762,0,202.2025749,466.5479612,0,-0.001932862,0.0040102,-0.001820734,
788.4799994,3080,-203.8659462,146.6452271,57.35039719,101.7639524,79.33779018,87.31922875,95.07831052,104.2813087,-78.68678942,157.959955,115.9388359,-29.55415216,0,-35.38652248,-331.3607292,0,-0.001412778,0.003899268,-0.003089463,
788.4879994,3080,11.94698181,154.6220923,98.04854463,50.29354782,49.70418512,36.77648847,89.0272455,166.1433767,468.4375839,185.4611696,48.25152374,269.398065,0,234.6697521,436.7491777,0,-0.00165555,0.004654982,-0.003561049,
788.4959994,3080,-124.4920079,154.4669214,9.509030862,79.12160541,46.84708675,126.665142,-132.616683,-193.8632874,40.33280994,106.5151361,102.7233224,10.36069303,0,-6.82335487,-4.662580075,0,-0.001560742,0.005941632,-0.005299932,
