Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4
877.1999994,3426,0,0,-61.83873067,-53.93133267,-64.85514343,-92.42912268,-69.38949053,-59.81248036,15.98038833,-15.31529424,40.82870223,-34.91406577,26.53086521,-9.18739344,-37.83332007,7.350804638
877.2079994,3426,0,0,3.0247435,44.32889986,-22.14889824,4.353919001,-19.65700549,51.88409681,-56.25526465,-84.6629446,-50.25059748,-104.0653911,-50.40344781,-64.53673682,-210.6586502,-84.69375681
877.2159994,3426,0,0,33.94941386,43.28779928,43.82615233,8.652936144,32.39475732,54.84222495,73.1641721,50.85155286,71.14564084,26.51694463,74.72989725,70.96808099,-223.9957272,58.56484963
877.2239994,3426,0,0,-38.71849905,-21.89734245,-44.28847523,-56.23533124,-52.58290908,-26.48969848,-37.74388437,-77.06588377,-19.40016727,-92.27159743,-35.93691951,-56.36818466,5.15379326,-42.02573646
877.2319994,3426,0,0,69.76580838,91.40533276,69.33538512,75.89926328,59.53331956,106.2288889,40.5289865,12.18875802,27.23266975,-6.5750579,48.43591065,42.86144818,-299.4714141,17.5593984
877.2399994,3426,0,0,-58.14930583,-52.88675838,-45.41342553,-58.51116332,-55.99275167,-21.35558073,7.512006258,-24.68379074,31.59283871,-41.01970012,14.01405663,7.382080557,-7.996795723,46.60123895
877.2479994,3426,0,0,19.03453511,43.37894823,7.25325179,38.30148752,6.342258937,61.72260689,-57.10123434,-104.6492666,-58.01824887,-119.2515364,-51.56771098,-65.84473158,-165.5311225,-45.87625041
877.2559994,3426,0,0,27.64547444,28.56229376,45.76388782,22.13683645,34.58190541,58.71688562,66.70563019,26.49257303,63.53246472,12.78676104,89.73609536,69.49778614,-173.47891,91.05946826
877.2639994,3426,0,0,-69.7477193,-45.96060855,-72.16323681,-76.1028688,-74.37721499,-13.98635298,-82.45888849,-122.3192562,-56.76245502,-129.3339491,-58.42481091,-88.98015886,29.53251545,-34.57793692
877.2719994,3426,0,0,81.63410791,105.0008735,76.4494084,63.27699602,80.10073356,129.0626462,7.936150283,-29.7006646,-3.993571229,-37.90279275,31.0664483,-1.608660487,-286.5196837,12.17895618
877.2799994,3426,0,0,-14.32667939,-7.758256783,-12.06008311,-53.57792885,-16.53502592,5.325945853,35.77054134,2.920281494,61.33134771,-1.613088254,55.48351273,25.14842852,27.76021184,68.20686825
877.2879994,3426,0,0,36.54260233,73.89368202,10.06878227,23.98207782,5.958493913,67.22444069,-24.49709988,-43.32396611,-16.2295429,-55.212532,-15.89261995,-30.16761307,-144.2253835,-34.47878329
877.2959994,3426,0,0,54.40818467,55.72889591,45.81579271,10.48805242,38.59200111,54.48084163,89.27218414,68.79629339,92.54985353,54.60003393,98.84002109,71.7527187,-187.6730563,67.89720148
877.3039994,3426,0,0,-42.29241145,-34.02717268,-72.68549338,-79.53469652,-72.9131943,-32.8334113,-33.82241241,-67.48062531,-7.367744839,-78.23703489,-31.33976778,-67.46252285,13.11945705,-46.57749791
877.3119994,3427,0,0,59.039466,70.79937313,38.40596951,36.66754461,34.7547396,76.93323169,32.49524737,4.513366004,15.54434105,-14.59246549,37.727818,17.21609026,-321.7882738,-10.30776081
877.3199994,3427,0,0,-36.8622446,-42.64565177,-50.0129309,-68.6457286,-50.48722329,-33.38735591,9.548239692,-18.38660497,22.07597415,-39.91996158,19.84296561,-13.25471314,-38.09974947,17.01930718
877.3279994,3427,0,0,50.84380804,74.69818548,7.524994726,49.450195,13.26176422,81.24254727,-37.05630295,-56.38140525,-44.81622967,-87.91436402,-36.90520435,-73.85321407,-187.3599857,-39.15968169
877.3359994,3427,0,0,54.66023587,53.2269398,46.92669831,43.32930952,44.67644197,77.00100839,91.41659689,76.44835398,83.80144143,45.6904803,98.99852721,60.51341535,-190.1499337,124.1558904
877.3439994,3427,0,0,-57.44440666,-47.56048018,-78.82557278,-47.61345394,-63.2268045,-19.62299807,-65.29580447,-80.93726054,-41.38431922,-109.6514451,-50.17900955,-95.7513986,19.23916416,7.775720361
877.3519994,3427,0,0,53.5047001,59.94086912,29.93166643,61.97251736,43.45869155,90.67684569,-8.131256991,-16.32839325,-26.28262855,-57.14814738,0.823931127,-47.52502872,-310.2909817,35.68692339
877.3599994,3427,0,0,-38.186189,-54.56198341,-58.07914982,-65.80242535,-49.87303156,-21.94723513,-7.661027102,-13.36554464,8.537582848,-54.91083218,5.182726006,-60.77902257,-7.522571882,71.95623638
877.3679994,3427,0,0,60.61927356,74.08119227,9.271133227,43.2834533,33.79829158,95.76673399,-43.28019631,-29.28126084,-36.58959173,-80.48369199,-29.07545783,-85.84441503,-141.8838949,2.904142159
877.3759994,3427,0,0,69.17685231,61.02956648,35.025193,22.23810656,59.42747154,69.70140532,88.35707604,106.3932553,93.25947515,56.88292758,98.27814304,45.77240314,-152.2456986,127.7824821
877.3839994,3427,0,0,-15.16378348,-9.512461375,-82.9684811,-56.62544369,-49.49055697,-4.491438006,-38.71269672,-23.19356165,-3.784905239,-65.66257738,-32.61070071,-90.95579541,39.52906415,-3.673156806
877.3919994,3427,0,0,101.9994869,113.4063699,37.38984135,72.63391354,67.28388231,133.5075765,53.78653921,82.00537549,56.31361387,31.79560292,57.58011901,12.20920343,-287.3937343,47.46313058
877.3999994,3427,0,0,-57.56210199,-53.82496057,-104.3385377,-94.23605174,-77.50745944,-50.90130355,19.13043742,49.48951805,55.28753522,-0.764927687,24.62695034,-28.22774122,-14.99353122,56.36244703
877.4079994,3427,0,0,38.6754583,70.83875619,-31.37830494,33.97659206,-2.972509083,65.42009908,-51.5915688,-12.92087408,-37.32194742,-72.91812686,-54.25574311,-97.6601574,-205.0140609,-52.21287765
877.4159994,3427,0,0,68.85332871,69.73285484,40.74855681,54.40412846,58.64204744,89.91037336,110.5044369,142.2929284,115.2069922,84.82950468,115.3112708,69.8426418,-194.9230472,118.2495954
877.4239994,3427,0,0,-70.57539405,-57.30680267,-106.8006544,-72.08005434,-82.62331602,-33.12277336,-48.60310439,-18.18722686,-19.43216484,-74.45394123,-34.79906865,-93.19313428,14.94796021,-7.218347149
877.4319994,3427,0,0,56.83677548,71.62895119,31.93635601,68.92881335,42.00914367,110.9393377,-0.873536155,29.95184377,-11.13835258,-32.19775965,6.904806714,-46.97913409,-328.6791814,14.20965792
877.4399994,3427,0,0,-55.51803865,-55.52483754,-57.73556064,-44.50796174,-49.53306139,-10.50192485,3.610299025,22.67894706,27.96968737,-26.79180178,18.91324318,-52.81169302,-8.139692981,73.30781536
877.4479994,3427,0,0,9.048668852,39.08786418,-17.54993368,40.34855483,0.121540463,75.14925811,-68.76649994,-32.6518473,-59.71874742,-92.59416831,-53.79048765,-116.8760535,-163.5739025,-17.52001984
877.4559994,3427,0,0,39.73830775,46.82684963,39.53466738,42.98083848,46.65267516,81.8776273,59.1119838,91.79261906,64.02012539,33.48655598,81.93313853,15.66696338,-179.0165126,119.6537227
877.4639994,3427,0,0,-49.55206794,-30.23501504,-80.31286648,-46.10724113,-62.02369512,-15.56712171,-63.67725617,-36.61518,-30.56650667,-82.41205534,-39.75516413,-104.5432453,43.97129976,18.44407553
877.4719994,3427,0,0,77.94331231,95.71659828,43.28222094,66.78026361,56.31844201,101.322631,30.29047574,60.34051618,18.86035224,4.786997003,31.68217511,-13.2083286,-275.7562947,45.23440876
877.4799994,3427,0,0,-41.43041467,-30.00098755,-63.97343054,-69.1497726,-51.21300591,-28.81771237,23.12420992,50.09395653,47.27072726,0.147252323,28.23750608,-29.0763488,12.53853936,53.24143877
877.4879994,3427,0,0,25.11155524,66.11057474,-33.48340861,24.28961365,-11.79492271,60.56934914,-54.2884242,-9.863265112,-36.62929986,-60.60528492,-46.89421715,-83.68989601,-166.9293611,-47.12725767
877.4959994,3427,0,0,40.92791932,53.23352616,8.093605013,9.896951996,19.91407274,46.95125351,85.19739331,122.1288403,93.25017066,68.43722553,84.95240441,50.49698809,-190.9193297,80.12825126
877.5039994,3427,0,0,-45.38873244,-7.412023667,-89.21351798,-60.0899173,-66.04772485,-25.07766147,-48.53467549,-7.680330788,-13.89249973,-59.20367748,-43.28535377,-81.47096846,17.15276387,-37.56907425
877.5119994,3427,0,0,84.69674657,126.7218078,58.85802395,91.37148472,78.42895467,109.5503427,35.68294058,91.19776518,36.41476916,32.50670839,48.83585424,26.65854962,-291.26116,25.35411484
877.5199994,3427,0,0,-45.17003578,-24.0264631,-45.62987199,-45.38710134,-31.76140796,-37.15419927,24.32711269,70.13741478,55.81673541,14.79558555,42.87670364,6.685432812,11.41972028,56.58953039
877.5279994,3427,0,0,6.376605977,56.117387,-13.00592339,38.28791358,3.409847381,71.69529191,-64.9221288,-14.89972067,-51.53274434,-72.62405601,-48.47579801,-80.51943957,-156.700234,-48.06024924
877.5359994,3427,0,0,17.85931605,43.60229258,30.92204584,38.30538534,37.34237761,88.01492623,52.0422164,91.34310903,58.24966563,37.85274219,73.61571482,36.81525443,-171.5586479,88.21268481
877.5439994,3427,0,0,-48.49765899,-8.416266511,-55.63466884,-14.02471392,-39.74170794,10.82410013,-76.97793626,-41.83534441,-42.20365846,-86.31040697,-53.96956972,-89.01776768,44.64906372,-3.797672379
877.5519994,3427,0,0,81.61368014,118.2715173,80.07279294,115.5390352,96.31087306,142.0629715,26.14619527,68.68159105,23.49863474,19.44614626,44.80416152,21.01169556,-243.9613385,66.38073946
877.5599994,3427,0,0,-53.16801994,-35.79398685,-49.9843344,-52.27915788,-36.00121094,-3.179723917,13.46471339,45.44689527,40.89498521,1.738682298,32.57407159,-4.830256731,55.45729796,81.21185637
877.5679994,3428,0,0,18.45346,64.12756902,-11.97595902,27.73624517,2.186256445,68.39976025,-68.57746995,-24.5887806,-56.54138933,-73.92779208,-62.01059272,-78.4823003,-135.3392997,-34.36887634
877.5759994,3428,0,0,27.44632833,47.63333805,26.23674246,12.7506168,33.93847785,49.47576144,61.49926803,110.8950449,68.45646729,56.40259279,61.30636297,57.754301,-159.8129905,81.39424041
877.5839994,3428,0,0,-74.63328786,-42.55982717,-104.2951654,-84.87932355,-86.84907518,-51.35313278,-77.07741994,-29.30823823,-42.80031064,-79.15790543,-75.29110159,-83.36770505,36.95577782,-46.51882295
877.5919994,3428,0,0,49.69459909,81.38389861,25.1840446,40.49205157,36.9831979,73.44167447,1.411043899,56.47145916,-0.605378838,-0.325921495,4.230124377,0.221726386,-285.944443,-4.073855398
877.5999994,3428,0,0,-56.85882954,-35.85611038,-57.70426943,-70.30413982,-47.51234758,-25.47414089,-1.796986263,45.39987116,26.48219751,-8.435715033,6.551547535,-7.083963035,15.15325562,27.8049158
877.6079994,3428,0,0,13.95422836,65.90827798,-8.081696188,38.71776457,7.908822338,56.36593491,-65.11057939,-8.898673267,-56.16794951,-68.37660578,-55.06269919,-55.62015162,-146.8747264,-45.15793859
877.6159994,3428,0,0,17.95540473,43.93652525,28.70501267,32.45056335,39.81330393,29.63388492,64.95962516,121.9118524,66.38566102,59.37043081,73.67795477,82.17228519,-152.4895003,93.23542203
877.6239994,3428,0,0,-64.37187343,-22.37666088,-67.6771422,-28.20699104,-49.79427098,-1.839266291,-67.52191843,-15.36194626,-40.65101756,-72.78893841,-61.40519992,-51.12103386,62.17361167,-17.35965142
877.6319994,3428,0,0,71.36080996,112.1720834,77.61085893,116.6963091,87.50413469,162.6221713,9.734696146,72.83133901,0.73678568,6.994335664,16.22839426,36.20368975,-242.2341151,49.74786543
877.6399994,3428,0,0,-47.45956085,-24.54806829,-31.55850318,-32.46742203,-20.11719519,4.4564441,11.52913179,66.9525189,35.88094907,6.993827688,15.79703659,31.26546924,74.80774504,84.73315678
877.6479994,3428,0,0,0.258846376,50.22915622,-15.59992203,17.28889121,1.634740065,46.46702817,-62.32193805,-4.164329673,-55.49542619,-64.26648034,-58.77448779,-42.79583061,-99.21078493,-33.3546253
877.6559994,3428,0,0,3.517408881,26.9661447,13.02001093,-7.695224308,20.25683259,24.46952891,36.60866719,96.98899367,38.89317375,36.20818675,43.68040792,53.46869225,-141.9845797,60.0443779
877.6639994,3428,0,0,-65.81256901,-20.56966007,-79.49302921,-63.12851887,-60.1812463,-29.1019695,-79.09156537,-20.31102248,-48.88663048,-73.30409206,-75.69397926,-57.45837997,61.36676455,-50.78486033
877.6719994,3428,0,0,60.78929895,112.1710942,55.99497362,70.89399865,72.18038609,104.9121349,25.75497642,93.89327128,19.70120486,35.85940504,27.73693549,60.44295,-244.8329157,23.32344548
877.6799994,3428,0,0,-75.46663175,-39.1452533,-62.68462059,-79.76704816,-50.73312128,-49.23288322,6.443877912,69.31817966,32.45374803,14.5030741,3.959477906,32.34309132,45.82024967,47.41749445
877.6879994,3428,0,0,-18.67784742,48.33138098,-33.27314966,7.372413857,-16.50796094,28.84633347,-76.05341201,-7.554273307,-68.45262193,-65.86034472,-80.46025447,-41.67613267,-137.0208896,-62.90333136
877.6959994,3428,0,0,-1.621449973,39.4070912,11.19044817,17.35467042,25.6114849,31.74407386,41.78506115,111.7542184,43.9555689,51.89287429,37.65738246,79.88172938,-160.7735663,62.03986955
