Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id,,
157.9279999,616,-416.2127012,39.92437252,-11.6624336,114.362244,98.36358953,42.25588397,45.87118419,131.3873006,-520.2199263,87.87783766,144.7948715,-225.0819784,0,-287.4246331,-892.4797394,0,1111,,
157.9359999,616,-45.87872262,42.76850179,122.7567699,-2.589852348,48.63034366,-93.06030269,360.3852416,579.2039456,196.5096858,53.82520554,-3.683526182,155.0775616,0,167.7317489,46.30823485,0,,,
157.9439999,616,251.7503731,166.6691947,-36.86734252,21.65419594,-17.78880784,110.307237,-425.7638878,-422.1036382,217.423194,-30.76844778,2.978572148,99.16199917,0,171.0642486,704.8742153,0,,,
157.9519999,617,-225.1442483,66.7927872,14.73107846,78.15376023,70.15000997,20.54521732,48.27265662,151.7755797,-260.7011835,62.85705484,93.61636113,-91.95549273,0,-119.7304137,-450.6967819,0,,,
157.9599999,617,98.81145747,90.65209305,77.15601583,-4.035402749,18.36570355,-26.32013239,101.7856799,248.8277224,264.0063732,27.21168561,-2.355486979,176.6685263,0,202.4389327,354.9612214,0,,,
157.9679999,617,73.89397293,131.9530568,-31.72606878,44.43657257,8.652213583,107.453719,-300.6425271,-283.7189606,11.42931115,-6.107923635,42.0506403,12.25974062,0,38.28028893,263.9150588,0,,,
157.9759999,617,-151.7396306,63.15989739,47.2370568,49.52134443,59.10482593,0.906547099,143.6237074,274.619132,-103.9033914,53.07350175,59.63737643,-3.834237573,0,-26.21390933,-264.2078299,0,,,
157.9839999,617,173.5379791,116.1397475,39.81631052,-3.867596987,6.309579262,18.3972237,-61.1328507,33.59680585,278.9254145,3.481189646,-7.441888325,172.9204125,0,209.8887172,523.4191945,0,,,
157.9919999,617,-75.31819185,99.15524293,-25.34663439,66.0074991,38.11972606,76.80513084,-169.3973025,-133.0919366,-161.0420322,18.99461644,67.62513421,-57.67017356,0,-61.07952331,-90.7551439,0,,,
157.9999999,617,-36.16540958,62.42824766,73.11809658,23.93822773,40.29760568,-30.39838702,183.1134205,333.6754085,78.84989213,36.45128453,17.60486565,90.10087413,0,88.09664139,35.41788065,0,,,
158.0079999,617,144.285814,121.0983453,-0.781599141,28.70368779,8.38271924,69.45618573,-210.7529144,-161.9490766,154.2574809,-8.918790281,17.93857182,95.73247048,0,122.9307846,458.7637764,0,,,
158.0159999,617,-173.2241957,62.3993181,9.716902529,75.7103904,67.97454568,41.16077075,11.73768454,101.4886649,-203.5486742,40.56843869,76.94664514,-60.69097274,0,-87.7120708,-286.2081684,0,,,
158.0239999,617,137.6896933,97.86515654,74.21797943,9.833492978,34.536215,6.460533317,75.76593147,215.3742705,278.5319041,11.1109288,-11.53072821,186.5215588,0,220.345591,454.2411829,0,,,
158.0319999,617,-7.912770196,121.1134889,-30.53707598,78.66030815,55.12553736,123.3267374,-246.6784337,-223.5830012,-117.9978386,18.09727902,86.66395884,-30.56746628,0,-34.24047373,32.6543659,0,,,
158.0399999,617,-78.99679744,56.96487405,75.47682733,30.37601208,68.42850109,-22.34537694,208.3851335,363.1447509,23.96349357,46.57841584,44.46370059,75.75984424,0,57.79394905,-91.52743915,0,,,
158.0479999,617,175.7035845,129.2622675,14.69937001,21.13686575,10.69632707,74.70519994,-181.8744288,-119.2479343,213.4050488,-8.403364078,13.37232343,130.2905245,0,169.0955442,512.088696,0,,,
158.0559999,617,-172.1564869,71.28805525,-1.731731598,82.49862598,57.41415737,76.71989469,-44.30282512,32.6503679,-226.5230228,49.46541575,103.3432136,-72.05756704,0,-107.2049005,-341.9339802,0,,,
158.0639999,617,121.6568473,76.53735348,81.32464254,-14.36505283,13.03565535,-20.70877763,117.870703,271.6385184,296.4256913,8.761529822,-14.36862599,191.7567255,0,213.0216078,398.1359278,0,,,
158.0719999,617,-7.596793209,104.2187892,-42.5602815,57.82303783,31.12592078,109.5700816,-281.5895823,-271.6140822,-110.9941774,-1.735518929,66.50244008,-51.40284469,0,-47.05587606,63.84234268,0,,,
158.0799999,617,-111.7070564,33.77145248,74.73000585,35.23670061,71.89097739,-20.50575687,223.9913038,373.8928091,-6.005446676,44.70199616,46.37132767,50.26925099,0,32.63627411,-157.6844468,0,,,
158.0879999,617,290.1248038,112.3167069,56.57659262,-15.60469574,3.977919437,34.05930904,-82.19315595,14.78606572,429.0550722,-26.60529837,-34.37740479,240.7773566,0,300.901681,791.6094374,0,,,
158.0959999,617,-40.98057589,79.03606535,6.65956599,53.71906029,50.90379043,70.56524058,-79.06730289,-8.357841617,-67.58117156,17.05520687,60.98952592,-0.433696611,0,-10.77003988,-14.76476778,0,,,
158.1039999,617,-15.08511427,66.77313663,50.21328691,35.91677015,56.49370519,29.95729984,60.1746053,168.8377717,49.74139545,22.00498226,43.43214357,73.05605619,0,63.56545316,63.54363938,0,,,
158.1119999,617,2.594345436,91.95814556,9.177700985,56.56585149,49.3545482,88.74802726,-115.4955074,-64.20524954,-10.19486381,13.05530603,62.25437598,27.83524002,0,21.74859843,89.82443994,0,,,
158.1199999,617,185.3833581,77.28046114,130.3137391,-19.9338703,28.53628589,-31.92526289,244.954889,430.0671512,443.7350203,10.28419467,-31.8242109,284.88072,0,308.7229732,550.631176,0,,,
158.1279999,617,420.9731181,136.6585093,81.51779551,-35.17352889,-14.1417526,39.34068959,-84.92490427,18.71183175,622.2331049,-40.74784357,-60.29591336,343.587794,0,415.5157348,1094.34009,0,,,
158.1359999,617,119.6709037,91.2971904,62.9522463,16.718567,33.06038377,36.77161621,25.81842955,133.7718747,231.5826293,6.692235068,12.33469977,160.091517,0,173.6388712,371.6718094,0,,,
158.1439999,617,129.9948647,93.88613291,54.62797198,13.18644475,26.98955199,45.32794692,-16.58477865,75.96536193,221.5622663,0.529316363,11.67497045,150.0906096,0,165.0916853,387.9428703,0,,,
158.1519999,617,-130.4983749,68.48600641,-24.95276802,69.57246503,51.51256823,101.9654864,-161.5495838,-151.7028499,-247.7942234,18.87751625,92.00684851,-102.597745,0,-128.7794449,-248.3788499,0,,,
158.1599999,617,-11.6747169,35.59721,83.2947755,-2.81254531,37.15270919,-30.55553044,220.0585186,357.5663699,119.0512913,16.26001132,4.209085374,103.2115418,0,108.2659477,93.77623524,0,,,
158.1679999,617,124.8952999,100.6337771,-8.626641889,19.27957285,10.72899757,84.03925238,-204.4581662,-177.8046232,107.6430499,-25.0071586,24.17941004,60.85229058,0,89.34451925,393.350272,0,,,
158.1759999,617,-196.0469018,38.94163653,3.175601719,57.84335395,61.8091288,41.99043638,34.03823657,103.1743784,-240.395329,26.99526153,86.59063218,-87.34198172,0,-128.4671458,-365.3880845,0,,,
158.1839999,617,139.5312741,68.32000012,71.60827932,-23.88353955,9.883119395,-12.83952582,101.3305822,219.4529049,290.9020027,-22.73903728,-25.36720468,176.7349102,0,208.0890867,477.157614,0,,,
158.1919999,617,-43.70586989,98.65704384,-39.04912382,67.52618503,40.52512731,122.6678055,-246.0311688,-250.0816909,-165.2827545,-8.538580063,80.54700768,-78.55625397,0,-76.40052143,-13.60336446,0,,,
158.1999999,617,-81.58343283,54.50717341,79.91831876,37.89617449,65.4780739,-2.218538028,214.5615551,347.2509273,10.89817478,38.90933754,53.03630742,60.95848561,0,43.60878678,-109.9926803,0,,,
158.2079999,618,170.6283227,107.9594091,21.59631183,14.44189308,10.43631687,74.41938049,-160.3996591,-134.2505674,201.2921847,-12.47334493,27.59829419,128.5631329,0,156.8959118,476.3288992,0,,,
